change_ordinal	event_id	statement_id	physical_page	register	state_status	surface	final_context_recipe	repeat_argument_group_count	covered_later_argument_mention_count	anaphor_occurrence_count	before_clause_de	after_clause_de	full_argument_expansion_de	guard
276	G407-E1342	G407-S074	f72r	CELESTIAL	NONSTATE_CARD	shocthy	SH+O+CH+T+Y	1	2	2	Halte den Positionsposten, nimm den Positionsposten auf und stelle den Positionsposten ein; als Ausführung.	Halte den Positionsposten, nimm ihn auf und stelle ihn ein; als Ausführung.	Halte den Positionsposten, nimm den Positionsposten auf und stelle den Positionsposten ein; als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
277	G407-E1372	G407-S077	f72r	CELESTIAL	NONSTATE_CARD	chteos	CH+T+E+O+S	1	2	2	Nimm denselben Positionsposten auf, stelle denselben Positionsposten ein und wähle denselben Positionsposten; auf Grad I und als Ausführung.	Nimm denselben Positionsposten auf, stelle ihn ein und wähle ihn; auf Grad I und als Ausführung.	Nimm denselben Positionsposten auf, stelle denselben Positionsposten ein und wähle denselben Positionsposten; auf Grad I und als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
278	G407-E1383	G407-S077	f72r	CELESTIAL	NONSTATE_CARD	cheor	CH+E+O+R	1	1	1	Nimm denselben Positionsposten auf und markiere denselben Positionsposten; auf Grad I und als Ausführung.	Nimm denselben Positionsposten auf und markiere ihn; auf Grad I und als Ausführung.	Nimm denselben Positionsposten auf und markiere denselben Positionsposten; auf Grad I und als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
279	G407-E1393	G407-S079	f72r	CELESTIAL	NONSTATE_CARD	shees	SH+EE+S	1	1	1	Halte denselben Positionsposten und wähle denselben Positionsposten; auf Grad II.	Halte denselben Positionsposten und wähle ihn; auf Grad II.	Halte denselben Positionsposten und wähle denselben Positionsposten; auf Grad II.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
280	G407-E1394	G407-S079	f72r	CELESTIAL	STATE_CARD	opcholalaiin	O+P+CH+OL+AL+AIIN	1	1	1	Weiter: setze den Positionswert ein und nimm den Positionswert auf; als Ausführung; zur Zielposition.	Weiter: setze den Positionswert ein und nimm ihn auf; als Ausführung; zur Zielposition.	Weiter: setze den Positionswert ein und nimm den Positionswert auf; als Ausführung; zur Zielposition.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
281	G407-E1398	G407-S079	f72r	CELESTIAL	NONSTATE_CARD	okaipchy	OK+A_ADDR+LOCAL_CHAR_I+P+CH+Y	1	2	2	Setze den Positionsposten, setze den Positionsposten ein und nimm den Positionsposten auf; an der bezeichneten Stelle und mit der lokalen Variante.	Setze den Positionsposten, setze ihn ein und nimm ihn auf; an der bezeichneten Stelle und mit der lokalen Variante.	Setze den Positionsposten, setze den Positionsposten ein und nimm den Positionsposten auf; an der bezeichneten Stelle und mit der lokalen Variante.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
282	G407-E1411	G407-S079	f72r	CELESTIAL	NONSTATE_CARD	shes	SH+E+S	1	1	1	Halte denselben Positionsposten und wähle denselben Positionsposten; auf Grad I.	Halte denselben Positionsposten und wähle ihn; auf Grad I.	Halte denselben Positionsposten und wähle denselben Positionsposten; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
283	G407-E1415	G407-S080	f72r	CELESTIAL	STATE_CARD	ckhol	CH+K+OL	1	1	1	Weiter: nimm denselben Positionsposten auf und ordne denselben Positionsposten zu.	Weiter: nimm denselben Positionsposten auf und ordne ihn zu.	Weiter: nimm denselben Positionsposten auf und ordne denselben Positionsposten zu.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
284	G407-E1420	G407-S081	f72r	CELESTIAL	STATE_CARD	octheolarl	O+CH+T+E+OL+AR+L	1	1	1	Weiter: nimm denselben Positionswert auf und stelle denselben Positionswert ein; als Ausführung und auf Grad I; von der Ausgangsposition und über die Ringverbindung.	Weiter: nimm denselben Positionswert auf und stelle ihn ein; als Ausführung und auf Grad I; von der Ausgangsposition und über die Ringverbindung.	Weiter: nimm denselben Positionswert auf und stelle denselben Positionswert ein; als Ausführung und auf Grad I; von der Ausgangsposition und über die Ringverbindung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
285	G407-E1435	G407-S083	f75r	BIOLOGICAL	STATE_CARD	ssheol	S+SH+E+OL	1	1	1	Weiter: wähle denselben Stationsposten und halte denselben Stationsposten; auf Grad I.	Weiter: wähle denselben Stationsposten und halte ihn; auf Grad I.	Weiter: wähle denselben Stationsposten und halte denselben Stationsposten; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
286	G407-E1437	G407-S084	f75r	BIOLOGICAL	NONSTATE_CARD	chedykar	CHD+Y+K+AR	1	1	1	Bearbeite den Stationsposten und führe den Stationsposten zu; von der Ausgangsstation.	Bearbeite den Stationsposten und führe ihn zu; von der Ausgangsstation.	Bearbeite den Stationsposten und führe den Stationsposten zu; von der Ausgangsstation.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
287	G407-E1438	G407-S084	f75r	BIOLOGICAL	STATE_CARD	chekeedy	CH+K+EE+DY	1	1	1	Entnimm denselben Stationsposten und führe denselben Stationsposten zu; auf Grad II; schließe den Schritt.	Entnimm denselben Stationsposten und führe ihn zu; auf Grad II; schließe den Schritt.	Entnimm denselben Stationsposten und führe denselben Stationsposten zu; auf Grad II; schließe den Schritt.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
288	G407-E1445	G407-S085	f75r	BIOLOGICAL	NONSTATE_CARD	sheeky	SH+EE+K+Y	1	1	1	Halte den Stationsposten und führe den Stationsposten zu; auf Grad II.	Halte den Stationsposten und führe ihn zu; auf Grad II.	Halte den Stationsposten und führe den Stationsposten zu; auf Grad II.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
289	G407-E1449	G407-S085	f75r	BIOLOGICAL	NONSTATE_CARD	dackhy	DA+CH+K+Y	1	1	1	Entnimm den Stationsposten und führe den Stationsposten zu; auf der zweiten Stufe.	Entnimm den Stationsposten und führe ihn zu; auf der zweiten Stufe.	Entnimm den Stationsposten und führe den Stationsposten zu; auf der zweiten Stufe.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
290	G407-E1462	G407-S086	f75r	BIOLOGICAL	NONSTATE_CARD	ckhey	CH+K+E+Y	1	1	1	Entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I.	Entnimm den Stationsposten und führe ihn zu; auf Grad I.	Entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
291	G407-E1469	G407-S087	f75r	BIOLOGICAL	NONSTATE_CARD	pcheykeeor	P+Y+K+EE+OR	2	2	2	Setze den Stationsposten und die Stationseinheit ein und führe den Stationsposten und die Stationseinheit zu; auf Grad II.	Setze den Stationsposten und die Stationseinheit ein und führe ihn und sie zu; auf Grad II.	Setze den Stationsposten und die Stationseinheit ein und führe den Stationsposten und die Stationseinheit zu; auf Grad II.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
292	G407-E1474	G407-S087	f75r	BIOLOGICAL	NONSTATE_CARD	chcthy	CH+CH+T+Y	1	2	2	Entnimm den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein.	Entnimm den Stationsposten, entnimm ihn und stelle ihn ein.	Entnimm den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
293	G407-E1477	G407-S088	f75r	BIOLOGICAL	STATE_CARD	pchedy	P+CHD+DY	1	1	1	Setze denselben Stationsposten ein und bearbeite denselben Stationsposten; schließe den Schritt.	Setze denselben Stationsposten ein und bearbeite ihn; schließe den Schritt.	Setze denselben Stationsposten ein und bearbeite denselben Stationsposten; schließe den Schritt.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
294	G407-E1478	G407-S089	f75r	BIOLOGICAL	STATE_CARD	qokshdy	OK+SH+DY	1	1	1	Setze denselben Stationsposten im Stationsgang an und halte denselben Stationsposten; schließe den Schritt.	Setze denselben Stationsposten im Stationsgang an und halte ihn; schließe den Schritt.	Setze denselben Stationsposten im Stationsgang an und halte denselben Stationsposten; schließe den Schritt.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
295	G407-E1489	G407-S091	f75r	BIOLOGICAL	NONSTATE_CARD	dsheckhy	D_ADDR+SH+E+CH+K+Y	1	2	2	Halte den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I; an der bezeichneten Stelle.	Halte den Stationsposten, entnimm ihn und führe ihn zu; auf Grad I; an der bezeichneten Stelle.	Halte den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
296	G407-E1491	G407-S091	f75r	BIOLOGICAL	NONSTATE_CARD	chckhy	CH+K+Y	1	1	1	Entnimm den Stationsposten und führe den Stationsposten zu.	Entnimm den Stationsposten und führe ihn zu.	Entnimm den Stationsposten und führe den Stationsposten zu.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
297	G407-E1494	G407-S093	f75r	BIOLOGICAL	STATE_CARD	qokchdy	OK+CHD+DY	1	1	1	Setze denselben Stationsposten im Stationsgang an und bearbeite denselben Stationsposten; schließe den Schritt.	Setze denselben Stationsposten im Stationsgang an und bearbeite ihn; schließe den Schritt.	Setze denselben Stationsposten im Stationsgang an und bearbeite denselben Stationsposten; schließe den Schritt.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
298	G407-E1495	G407-S094	f75r	BIOLOGICAL	NONSTATE_CARD	chcthy	CH+CH+T+Y	1	2	2	Entnimm den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein.	Entnimm den Stationsposten, entnimm ihn und stelle ihn ein.	Entnimm den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
299	G407-E1499	G407-S095	f75r	BIOLOGICAL	NONSTATE_CARD	checkhy	CH+E+CH+K+Y	1	2	2	Entnimm den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I.	Entnimm den Stationsposten, entnimm ihn und führe ihn zu; auf Grad I.	Entnimm den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
300	G407-E1508	G407-S096	f75r	BIOLOGICAL	NONSTATE_CARD	chckhy	CH+K+Y	1	1	1	Entnimm den Stationsposten und führe den Stationsposten zu.	Entnimm den Stationsposten und führe ihn zu.	Entnimm den Stationsposten und führe den Stationsposten zu.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
301	G407-E1522	G407-S101	f75r	BIOLOGICAL	NONSTATE_CARD	chekam	CH+K+AM_ADDR	1	1	1	Entnimm dieselbe Stationseinheit und führe dieselbe Stationseinheit zu; an der bezeichneten Stelle.	Entnimm dieselbe Stationseinheit und führe sie zu; an der bezeichneten Stelle.	Entnimm dieselbe Stationseinheit und führe dieselbe Stationseinheit zu; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
302	G407-E1523	G407-S101	f75r	BIOLOGICAL	NONSTATE_CARD	ssheckhy	S+SH+E+CH+K+Y	1	3	3	Wähle den Stationsposten, halte den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I.	Wähle den Stationsposten, halte ihn, entnimm ihn und führe ihn zu; auf Grad I.	Wähle den Stationsposten, halte den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
303	G407-E1534	G407-S102	f75r	BIOLOGICAL	STATE_CARD	pchedy	P+CHD+DY	1	1	1	Setze denselben Stationsposten ein und bearbeite denselben Stationsposten; schließe den Schritt.	Setze denselben Stationsposten ein und bearbeite ihn; schließe den Schritt.	Setze denselben Stationsposten ein und bearbeite denselben Stationsposten; schließe den Schritt.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
304	G407-E1544	G407-S109	f75r	BIOLOGICAL	NONSTATE_CARD	keishy	K+E+SH+Y	1	1	1	Führe den Stationsposten zu und halte den Stationsposten; auf Grad I.	Führe den Stationsposten zu und halte ihn; auf Grad I.	Führe den Stationsposten zu und halte den Stationsposten; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
305	G407-E1549	G407-S110	f75r	BIOLOGICAL	NONSTATE_CARD	chckhy	CH+K+Y	1	1	1	Entnimm den Stationsposten und führe den Stationsposten zu.	Entnimm den Stationsposten und führe ihn zu.	Entnimm den Stationsposten und führe den Stationsposten zu.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
306	G407-E1561	G407-S111	f75r	BIOLOGICAL	STATE_CARD	okchdy	OK+CHD+DY	1	1	1	Setze dieselbe Stationseinheit im Stationsgang an und bearbeite dieselbe Stationseinheit; schließe den Schritt.	Setze dieselbe Stationseinheit im Stationsgang an und bearbeite sie; schließe den Schritt.	Setze dieselbe Stationseinheit im Stationsgang an und bearbeite dieselbe Stationseinheit; schließe den Schritt.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
307	G407-E1567	G407-S114	f75r	BIOLOGICAL	NONSTATE_CARD	shokain	SH+OK+AIN	1	1	1	Halte den Stationsanteil und setze den Stationsanteil im Stationsgang an.	Halte den Stationsanteil und setze ihn im Stationsgang an.	Halte den Stationsanteil und setze den Stationsanteil im Stationsgang an.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
308	G407-E1569	G407-S114	f75r	BIOLOGICAL	STATE_CARD	okshedy	OK+SH+E+DY	1	1	1	Setze denselben Stationsposten im Stationsgang an und halte denselben Stationsposten; auf Grad I; schließe den Schritt.	Setze denselben Stationsposten im Stationsgang an und halte ihn; auf Grad I; schließe den Schritt.	Setze denselben Stationsposten im Stationsgang an und halte denselben Stationsposten; auf Grad I; schließe den Schritt.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
309	G407-E1572	G407-S115	f75r	BIOLOGICAL	NONSTATE_CARD	pchedar	P+CHD+AR	1	1	1	Setze denselben Stationsposten ein und bearbeite denselben Stationsposten; von der Ausgangsstation.	Setze denselben Stationsposten ein und bearbeite ihn; von der Ausgangsstation.	Setze denselben Stationsposten ein und bearbeite denselben Stationsposten; von der Ausgangsstation.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
310	G407-E1573	G407-S115	f75r	BIOLOGICAL	NONSTATE_CARD	shepchy	SH+E+P+Y	1	1	1	Halte den Stationsposten und setze den Stationsposten ein; auf Grad I.	Halte den Stationsposten und setze ihn ein; auf Grad I.	Halte den Stationsposten und setze den Stationsposten ein; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
311	G407-E1590	G407-S118	f75r	BIOLOGICAL	STATE_CARD	qokshedy	OK+SH+E+DY	1	1	1	Setze denselben Stationsposten im Stationsgang an und halte denselben Stationsposten; auf Grad I; schließe den Schritt.	Setze denselben Stationsposten im Stationsgang an und halte ihn; auf Grad I; schließe den Schritt.	Setze denselben Stationsposten im Stationsgang an und halte denselben Stationsposten; auf Grad I; schließe den Schritt.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
312	G407-E1609	G407-S119	f75r	BIOLOGICAL	NONSTATE_CARD	qckhsy	CH+K+Y	1	1	1	Entnimm den Stationsposten und führe den Stationsposten zu.	Entnimm den Stationsposten und führe ihn zu.	Entnimm den Stationsposten und führe den Stationsposten zu.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
313	G407-E1625	G407-S119	f75r	BIOLOGICAL	NONSTATE_CARD	kshey	K+SH+E+Y	1	1	1	Führe den Stationsposten zu und halte den Stationsposten; auf Grad I.	Führe den Stationsposten zu und halte ihn; auf Grad I.	Führe den Stationsposten zu und halte den Stationsposten; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
314	G407-E1628	G407-S119	f75r	BIOLOGICAL	NONSTATE_CARD	sshey	S+SH+E+Y	1	1	1	Wähle den Stationsposten und halte den Stationsposten; auf Grad I.	Wähle den Stationsposten und halte ihn; auf Grad I.	Wähle den Stationsposten und halte den Stationsposten; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
315	G407-E1630	G407-S119	f75r	BIOLOGICAL	NONSTATE_CARD	chedyqokam	CHD+Y+OK+AM_ADDR	1	1	1	Bearbeite den Stationsposten und setze den Stationsposten im Stationsgang an; an der bezeichneten Stelle.	Bearbeite den Stationsposten und setze ihn im Stationsgang an; an der bezeichneten Stelle.	Bearbeite den Stationsposten und setze den Stationsposten im Stationsgang an; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
316	G407-E1635	G407-S119	f75r	BIOLOGICAL	NONSTATE_CARD	checthy	CH+T+Y	1	1	1	Entnimm den Stationsposten und stelle den Stationsposten ein.	Entnimm den Stationsposten und stelle ihn ein.	Entnimm den Stationsposten und stelle den Stationsposten ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
317	G407-E1639	G407-S119	f75r	BIOLOGICAL	NONSTATE_CARD	shckhy	SH+CH+K+Y	1	2	2	Halte den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu.	Halte den Stationsposten, entnimm ihn und führe ihn zu.	Halte den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
318	G407-E1654	G407-S122	f75r	BIOLOGICAL	NONSTATE_CARD	pdalshor	P+D_ADDR+AL+SH+OR	1	1	1	Setze die Stationseinheit ein und halte die Stationseinheit; zur Zielstation; an der bezeichneten Stelle.	Setze die Stationseinheit ein und halte sie; zur Zielstation; an der bezeichneten Stelle.	Setze die Stationseinheit ein und halte die Stationseinheit; zur Zielstation; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
319	G407-E1655	G407-S122	f75r	BIOLOGICAL	STATE_CARD	shtol	SH+T+OL	1	1	1	Weiter: halte dieselbe Stationseinheit und stelle dieselbe Stationseinheit ein.	Weiter: halte dieselbe Stationseinheit und stelle sie ein.	Weiter: halte dieselbe Stationseinheit und stelle dieselbe Stationseinheit ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
320	G407-E1657	G407-S122	f75r	BIOLOGICAL	NONSTATE_CARD	pshar	P+SH+AR	1	1	1	Setze denselben Stationsposten ein und halte denselben Stationsposten; von der Ausgangsstation.	Setze denselben Stationsposten ein und halte ihn; von der Ausgangsstation.	Setze denselben Stationsposten ein und halte denselben Stationsposten; von der Ausgangsstation.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
321	G407-E1665	G407-S125	f75r	BIOLOGICAL	NONSTATE_CARD	tchedy	T+CHD+Y	1	1	1	Stelle den Stationsposten ein und bearbeite den Stationsposten.	Stelle den Stationsposten ein und bearbeite ihn.	Stelle den Stationsposten ein und bearbeite den Stationsposten.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
322	G407-E1666	G407-S125	f75r	BIOLOGICAL	STATE_CARD	pchedy	P+CHD+DY	1	1	1	Setze denselben Stationsposten ein und bearbeite denselben Stationsposten; schließe den Schritt.	Setze denselben Stationsposten ein und bearbeite ihn; schließe den Schritt.	Setze denselben Stationsposten ein und bearbeite denselben Stationsposten; schließe den Schritt.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
323	G407-E1670	G407-S126	f75r	BIOLOGICAL	NONSTATE_CARD	shecthy	SH+E+CH+T+Y	1	2	2	Halte den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein; auf Grad I.	Halte den Stationsposten, entnimm ihn und stelle ihn ein; auf Grad I.	Halte den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
324	G407-E1677	G407-S129	f75r	BIOLOGICAL	NONSTATE_CARD	chkal	CH+K+AL	1	1	1	Entnimm denselben Stationsanteil und führe denselben Stationsanteil zu; zur Zielstation.	Entnimm denselben Stationsanteil und führe ihn zu; zur Zielstation.	Entnimm denselben Stationsanteil und führe denselben Stationsanteil zu; zur Zielstation.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
325	G407-E1690	G407-S130	f75r	BIOLOGICAL	NONSTATE_CARD	cheeky	CH+K+EE+Y	1	1	1	Entnimm den Stationsposten und führe den Stationsposten zu; auf Grad II.	Entnimm den Stationsposten und führe ihn zu; auf Grad II.	Entnimm den Stationsposten und führe den Stationsposten zu; auf Grad II.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
326	G407-E1693	G407-S130	f75r	BIOLOGICAL	NONSTATE_CARD	cheky	CH+K+E+Y	1	1	1	Entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I.	Entnimm den Stationsposten und führe ihn zu; auf Grad I.	Entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
327	G407-E1704	G407-S132	f75r	BIOLOGICAL	NONSTATE_CARD	chckhy	CH+K+Y	1	1	1	Entnimm den Stationsposten und führe den Stationsposten zu.	Entnimm den Stationsposten und führe ihn zu.	Entnimm den Stationsposten und führe den Stationsposten zu.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
