component_recipe	current_event_count	current_page_count	current_register_count	one_event_jackknife_outcome	whole_recipe_deletion_fixed_reader_outcome	regenerated_neighbor_count	regenerated_fallback_rank	regenerated_source_recipes	literal_reading_de
K+D_ADDR+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GEBEN · HIER · POSTEN
K+E+DY	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	OK+E+DY	GEBEN · GRAD I · SCHLUSS
K+E+O+AL	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	OK+E+O+AL	GEBEN · GRAD I · AUSFÜHRUNG · ZIELORT
K+E+OL	4	4	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	OK+E+OL	GEBEN · GRAD I · FORTSETZEN
K+E+OR	1	1	1	REGENERATED_NARROW	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	K+E+Y | OK+E+OR	GEBEN · GRAD I · EINHEIT
K+E+SH+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GEBEN · GRAD I · HALTEN · POSTEN
K+E+S_ADDR+D_ADDR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GEBEN · GRAD I · HIER · HIER
K+E+Y	1	1	1	REGENERATED_NARROW	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	K+E+OR | OK+E+Y	GEBEN · GRAD I · POSTEN
K+EE+DY	7	4	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	OK+EE+DY	GEBEN · GRAD II · SCHLUSS
K+EE+O	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	OK+EE+O	GEBEN · GRAD II · AUSFÜHRUNG
K+EE+O+D_ADDR	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	OK+EE+O+D_ADDR	GEBEN · GRAD II · AUSFÜHRUNG · HIER
K+EE+O+D_ADDR+AIIN	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GEBEN · GRAD II · AUSFÜHRUNG · HIER · WERT
K+EE+O+K+E+CH+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GEBEN · GRAD II · AUSFÜHRUNG · GEBEN · GRAD I · NEHMEN · POSTEN
K+EE+Y	9	6	5	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	OK+EE+Y	GEBEN · GRAD II · POSTEN
K+EE+Y+LOCAL_CHAR_F+AR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GEBEN · GRAD II · POSTEN · HIER · AUSGANG
K+EEE+D_ADDR+Y	2	1	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GEBEN · GRAD III · HIER · POSTEN
K+O+A_ADDR+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GEBEN · AUSFÜHRUNG · HIER · POSTEN
K+O+CH+K+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GEBEN · AUSFÜHRUNG · NEHMEN · GEBEN · POSTEN
K+O+D_ADDR	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	OK+O+D_ADDR	GEBEN · AUSFÜHRUNG · HIER
K+O+D_ADDR+AIIN	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	OK+O+D_ADDR+AIIN	GEBEN · AUSFÜHRUNG · HIER · WERT
K+O+D_ADDR+SH+E+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GEBEN · AUSFÜHRUNG · HIER · HALTEN · GRAD I · POSTEN
K+O+E+AM_ADDR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GEBEN · AUSFÜHRUNG · GRAD I · HIER
K+O+E+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GEBEN · AUSFÜHRUNG · GRAD I · POSTEN
K+O+M_LOCAL	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GEBEN · AUSFÜHRUNG · HIER
K+O+S	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GEBEN · AUSFÜHRUNG · WÄHLEN
K+O+SH+E+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GEBEN · AUSFÜHRUNG · HALTEN · GRAD I · POSTEN
K+O+SH+OL+DY	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GEBEN · AUSFÜHRUNG · HALTEN · FORTSETZEN · SCHLUSS
K+OK+AIIN	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GEBEN · SETZEN · WERT
K+OL	7	6	4	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	OK+OL | P+OL	GEBEN · FORTSETZEN
K+OL+CHD+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GEBEN · FORTSETZEN · BEARBEITEN · POSTEN
K+OL+DY	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	OK+OL+DY	GEBEN · FORTSETZEN · SCHLUSS
K+OL+P+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GEBEN · FORTSETZEN · EINSETZEN · POSTEN
K+OL+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GEBEN · FORTSETZEN · POSTEN
K+OR	4	3	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	4	REGENERATED_HIGH	K+AIIN | K+AIN | K+Y | OK+OR	GEBEN · EINHEIT
K+OR+AIN	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GEBEN · EINHEIT · ANTEIL
K+OR+CH+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GEBEN · EINHEIT · NEHMEN · POSTEN
K+SH+E+DY	1	1	1	REGENERATED_NARROW	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	OK+SH+E+DY | P+SH+E+DY	GEBEN · HALTEN · GRAD I · SCHLUSS
K+SH+E+D_ADDR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GEBEN · HALTEN · GRAD I · HIER
K+SH+E+O	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GEBEN · HALTEN · GRAD I · AUSFÜHRUNG
K+SH+E+Y	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	OK+SH+E+Y	GEBEN · HALTEN · GRAD I · POSTEN
K+SH+O	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	OK+SH+O	GEBEN · HALTEN · AUSFÜHRUNG
K+SH+O+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GEBEN · HALTEN · AUSFÜHRUNG · POSTEN
K+SH+Y	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	K+CHD+Y | OK+SH+Y	GEBEN · HALTEN · POSTEN
K+Y	7	6	4	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	5	REGENERATED_HIGH	K+AIIN | K+AIN | K+OR | OK+Y | P+Y	GEBEN · POSTEN
L	18	9	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	3	REGENERATED_STRONG	AIR | AL | AR	VERBINDUNG
L+AIIN	6	3	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	5	REGENERATED_HIGH	AL+AIIN | AR+AIIN | L+AIN | L+OR | L+Y	VERBINDUNG · WERT
L+AIN	1	1	1	REGENERATED_STRONG	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	3	REGENERATED_STRONG	L+AIIN | L+OR | L+Y	VERBINDUNG · ANTEIL
L+AL	1	1	1	REGENERATED_NARROW	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	AL+AL | L+AR	VERBINDUNG · ZIELORT
L+AL+OR	2	2	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · ZIELORT · EINHEIT
L+AR	3	2	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	L+AL	VERBINDUNG · AUSGANG
L+CH	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · NEHMEN
L+CH+CH+P+E+DY	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · NEHMEN · NEHMEN · EINSETZEN · GRAD I · SCHLUSS
L+CH+E+AR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · NEHMEN · GRAD I · AUSGANG
L+CH+EE+D_ADDR+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · NEHMEN · GRAD II · HIER · POSTEN
L+CH+EE+OR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · NEHMEN · GRAD II · EINHEIT
L+CH+K+E+DY	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · NEHMEN · GEBEN · GRAD I · SCHLUSS
L+CH+K+Y	2	1	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · NEHMEN · GEBEN · POSTEN
L+CH+L	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · NEHMEN · VERBINDUNG
L+CH+O	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · NEHMEN · AUSFÜHRUNG
L+CH+P+CHD+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · NEHMEN · EINSETZEN · BEARBEITEN · POSTEN
L+CH+S	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · NEHMEN · WÄHLEN
L+CH+Y	2	2	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · NEHMEN · POSTEN
L+CHD	2	1	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	AL+CHD | L+SH	VERBINDUNG · BEARBEITEN
L+CHD+AL	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	L+CHD+AR	VERBINDUNG · BEARBEITEN · ZIELORT
L+CHD+AR	2	2	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	L+CHD+AL	VERBINDUNG · BEARBEITEN · AUSGANG
L+CHD+DY	34	7	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	AL+CHD+DY	VERBINDUNG · BEARBEITEN · SCHLUSS
L+CHD+Y	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · BEARBEITEN · POSTEN
L+DA+R	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · ZWEITE STUFE · MARKIEREN
L+DY	6	4	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	AL+DY	VERBINDUNG · SCHLUSS
L+EE+Y	2	2	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · GRAD II · POSTEN
L+K+AIIN	3	3	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	L+K+AIN | L+K+Y	VERBINDUNG · GEBEN · WERT
L+K+AIN	2	1	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	3	REGENERATED_STRONG	AL+K+AIN | L+K+AIIN | L+K+Y	VERBINDUNG · GEBEN · ANTEIL
L+K+AM_ADDR+O	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · GEBEN · HIER · AUSFÜHRUNG
L+K+AR	2	1	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · GEBEN · AUSGANG
L+K+CHD+Y	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	L+P+CHD+Y	VERBINDUNG · GEBEN · BEARBEITEN · POSTEN
L+K+E+DY	5	3	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · GEBEN · GRAD I · SCHLUSS
L+K+E+D_ADDR+E+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · GEBEN · GRAD I · HIER · GRAD I · POSTEN
L+K+E+O	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · GEBEN · GRAD I · AUSFÜHRUNG
L+K+E+O+P+OL	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · GEBEN · GRAD I · AUSFÜHRUNG · EINSETZEN · FORTSETZEN
L+K+E+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · GEBEN · GRAD I · POSTEN
L+K+EE+D_ADDR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · GEBEN · GRAD II · HIER
L+K+EE+D_ADDR+Y	3	2	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · GEBEN · GRAD II · HIER · POSTEN
L+K+EE+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · GEBEN · GRAD II · POSTEN
L+K+Y	2	1	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	L+K+AIIN | L+K+AIN	VERBINDUNG · GEBEN · POSTEN
L+LOCAL_CHAR_F+CH+E+AL	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · HIER · NEHMEN · GRAD I · ZIELORT
L+O	5	2	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	AL+O	VERBINDUNG · AUSFÜHRUNG
L+O+CHD+DY	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · AUSFÜHRUNG · BEARBEITEN · SCHLUSS
L+O+D_ADDR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · AUSFÜHRUNG · HIER
L+O+IIN	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · AUSFÜHRUNG · STUFE
L+O+M_LOCAL	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · AUSFÜHRUNG · HIER
L+OL	12	7	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	AL+OL | AR+OL	VERBINDUNG · FORTSETZEN
L+OL+CHD+DY	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · FORTSETZEN · BEARBEITEN · SCHLUSS
L+OL+OL	2	2	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · FORTSETZEN · FORTSETZEN
L+OL+Y	3	2	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	AR+OL+Y	VERBINDUNG · FORTSETZEN · POSTEN
L+OR	4	3	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	4	REGENERATED_HIGH	AL+OR | L+AIIN | L+AIN | L+Y	VERBINDUNG · EINHEIT
L+P+CHD+Y	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	L+K+CHD+Y	VERBINDUNG · EINSETZEN · BEARBEITEN · POSTEN
L+R	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · MARKIEREN
L+SH	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	L+CHD	VERBINDUNG · HALTEN
L+SH+CH+T+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · HALTEN · NEHMEN · EINSTELLEN · POSTEN
L+SH+E	2	2	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · HALTEN · GRAD I
L+SH+E+DY	7	5	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	AL+SH+E+DY	VERBINDUNG · HALTEN · GRAD I · SCHLUSS
L+SH+E+D_ADDR+AR+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · HALTEN · GRAD I · HIER · AUSGANG · POSTEN
L+SH+E+T+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · HALTEN · GRAD I · EINSTELLEN · POSTEN
L+SH+E+Y	3	3	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · HALTEN · GRAD I · POSTEN
L+SH+EE	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · HALTEN · GRAD II
L+SH+EE+D_ADDR+Y	4	3	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · HALTEN · GRAD II · HIER · POSTEN
L+SH+EE+Y	2	1	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · HALTEN · GRAD II · POSTEN
L+SH+L	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · HALTEN · VERBINDUNG
L+SH+O	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · HALTEN · AUSFÜHRUNG
L+T+AIIN	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	L+T+AIN	VERBINDUNG · EINSTELLEN · WERT
L+T+AIN	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	L+T+AIIN	VERBINDUNG · EINSTELLEN · ANTEIL
L+T+AR+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · EINSTELLEN · AUSGANG · POSTEN
L+T+E+DY	2	2	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · EINSTELLEN · GRAD I · SCHLUSS
L+T+EE+D_ADDR+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	VERBINDUNG · EINSTELLEN · GRAD II · HIER · POSTEN
L+Y	12	7	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	5	REGENERATED_HIGH	AL+Y | AR+Y | L+AIIN | L+AIN | L+OR	VERBINDUNG · POSTEN
LOCAL_CHAR_F+AR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · AUSGANG
