component_recipe	intake_tier	tier_priority	literal_reading_de	generic_workshop_phrase_de	support_count	support_kind	registers	sample_surface	sample_existing_clause_de	intake_action	surface_rule
LOCAL_CHAR_F+CH+EE+Y	T0_EXACT_OBSERVED	0	HIER · NEHMEN · GRAD II · POSTEN	Nimm den Posten auf Grad II mit der lokalen Variante.	1	OBSERVED_EVENT_COUNT	HERBAL	fcheey	Nimm den Pflanzenposten; auf Grad II; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
LOCAL_CHAR_F+CH+O+D_ADDR+AIIN	T0_EXACT_OBSERVED	0	HIER · NEHMEN · AUSFÜHRUNG · HIER · WERT	Nimm den Wert als Ausführung mit der lokalen Variante und hier.	1	OBSERVED_EVENT_COUNT	HERBAL	fchodaiin	Nimm den Arbeitswert; als Ausführung; an der bezeichneten Stelle und an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
LOCAL_CHAR_F+O+AR	T0_EXACT_OBSERVED	0	HIER · AUSFÜHRUNG · AUSGANG	Vom Ausgang mit der lokalen Variante.	1	OBSERVED_EVENT_COUNT	HERBAL	foar	Im laufenden Gang halte den Arbeitswert [wie zuvor]; vom Ausgangsmaterial; als Ausführung; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
LOCAL_CHAR_F+SH+O+DY	T0_EXACT_OBSERVED	0	HIER · HALTEN · AUSFÜHRUNG · SCHLUSS	Halte als Ausführung mit der lokalen Variante; schließe den Schritt.	1	OBSERVED_EVENT_COUNT	HERBAL	fshody	Halte; als Ausführung; an der bezeichneten Stelle; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
LOCAL_CHAR_G	T0_EXACT_OBSERVED	0	VARIANTE	Mit der lokalen Variante.	1	OBSERVED_EVENT_COUNT	HERBAL	g	Im laufenden Gang nimm die Arbeitseinheit [wie zuvor]; mit der lokalen Variante.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
LOCAL_CHAR_G+IIN	T0_EXACT_OBSERVED	0	VARIANTE · STUFE	Auf der bezeichneten Stufe mit der lokalen Variante.	1	OBSERVED_EVENT_COUNT	CELESTIAL	giin	Im laufenden Gang setze den Positionswert [wie zuvor]; auf der bezeichneten Stufe; mit der lokalen Variante.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
M_LOCAL+OL	T0_EXACT_OBSERVED	0	HIER · FORTSETZEN	Weiter: Hier.	1	OBSERVED_EVENT_COUNT	HERBAL	mol	Weiter im laufenden Gang wähle den Pflanzenposten [wie zuvor]; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O	T0_EXACT_OBSERVED	0	AUSFÜHRUNG	Führe die bezeichnete Karte aus.	28	OBSERVED_EVENT_COUNT	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	o	Im laufenden Gang lege den laufenden Eintrag [wie zuvor] fest; als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+AIIN	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · WERT	Führe den Wert aus.	2	OBSERVED_EVENT_COUNT	CELESTIAL|HERBAL	oaiin	Im laufenden Gang gib den Arbeitswert zu; als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+AIN	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · ANTEIL	Führe den Anteil aus.	1	OBSERVED_EVENT_COUNT	PHARMA	oain	Im laufenden Gang wähle den Drogenanteil; als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+AM_ADDR	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · HIER	Hier.	5	OBSERVED_EVENT_COUNT	HERBAL|PHARMA	om	Im laufenden Gang gib den Pflanzenposten [wie zuvor] zu; als Ausführung; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+AR	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · AUSGANG	Vom Ausgang.	1	OBSERVED_EVENT_COUNT	PHARMA	qoar	Vom Ausgangsgefäß; als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+CH+E+O+L	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · NEHMEN · GRAD I · AUSFÜHRUNG · VERBINDUNG	Nimm über die Verbindung auf Grad I als Ausführung.	1	OBSERVED_EVENT_COUNT	PHARMA	ocheol	Nimm den Mengenwert [wie zuvor]; über die Gefäßverbindung; als Ausführung, auf Grad I und als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+CH+E+Y	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · NEHMEN · GRAD I · POSTEN	Nimm den Posten auf Grad I als Ausführung.	1	OBSERVED_EVENT_COUNT	CELESTIAL	ochey	Nimm den Positionsposten auf; als Ausführung und auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+CH+K+E+Y	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · NEHMEN · GEBEN · GRAD I · POSTEN	Nimm den Posten; gib den Posten auf Grad I als Ausführung.	8	OBSERVED_EVENT_COUNT	BIOLOGICAL|PHARMA	qockhey	Entnimm den Stationsposten und führe den Stationsposten zu; als Ausführung und auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+CH+K+Y	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · NEHMEN · GEBEN · POSTEN	Nimm den Posten; gib den Posten als Ausführung.	2	OBSERVED_EVENT_COUNT	CELESTIAL|PHARMA	ockhy	Nimm den Positionsposten auf und ordne den Positionsposten zu; als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+CH+P+OR+AIIN	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · NEHMEN · EINSETZEN · EINHEIT · WERT	Nimm die Einheit und den Wert; setze die Einheit und den Wert ein als Ausführung.	1	OBSERVED_EVENT_COUNT	HERBAL	ocphoraiin	Nimm die Arbeitseinheit und den Arbeitswert und setze die Arbeitseinheit und den Arbeitswert ein; als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+CH+T+E+OL	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · NEHMEN · EINSTELLEN · GRAD I · FORTSETZEN	Weiter: Nimm; stelle ein auf Grad I als Ausführung.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	octheol	Weiter entnimm den Stationswert [wie zuvor] und stelle den Stationswert [wie zuvor] ein; als Ausführung und auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+CH+T+E+OL+AR+L	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · NEHMEN · EINSTELLEN · GRAD I · FORTSETZEN · AUSGANG · VERBINDUNG	Weiter: Nimm; stelle vom Ausgang und über die Verbindung ein auf Grad I als Ausführung.	1	OBSERVED_EVENT_COUNT	CELESTIAL	octheolarl	Weiter nimm den Positionswert [wie zuvor] auf und stelle den Positionswert [wie zuvor] ein; von der Ausgangsposition und über die Ringverbindung; als Ausführung und auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+CH+T+O+D_ADDR+Y	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · NEHMEN · EINSTELLEN · AUSFÜHRUNG · HIER · POSTEN	Nimm den Posten; stelle den Posten ein als Ausführung hier.	1	OBSERVED_EVENT_COUNT	HERBAL	octhody	Nimm den Pflanzenposten und stelle den Pflanzenposten ein; als Ausführung und als Ausführung; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+CH+T+OL+E	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · NEHMEN · EINSTELLEN · FORTSETZEN · GRAD I	Weiter: Nimm; stelle ein auf Grad I als Ausführung.	1	OBSERVED_EVENT_COUNT	CELESTIAL	octhole	Weiter nimm die Positionseinheit [wie zuvor] auf und stelle die Positionseinheit [wie zuvor] ein; als Ausführung und auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+CH+T+OR	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · NEHMEN · EINSTELLEN · EINHEIT	Nimm die Einheit; stelle die Einheit ein als Ausführung.	1	OBSERVED_EVENT_COUNT	HERBAL	octhor	Nimm die Arbeitseinheit und stelle die Arbeitseinheit ein; als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+CH+T+Y	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · NEHMEN · EINSTELLEN · POSTEN	Nimm den Posten; stelle den Posten ein als Ausführung.	1	OBSERVED_EVENT_COUNT	PHARMA	qocthy	Nimm den Drogenposten und stelle den Drogenposten ein; als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+CH+T+Y+L	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · NEHMEN · EINSTELLEN · POSTEN · VERBINDUNG	Nimm den Posten; stelle den Posten über die Verbindung ein als Ausführung.	1	OBSERVED_EVENT_COUNT	HERBAL	octhyl	Nimm den Pflanzenposten und stelle den Pflanzenposten ein; über die Verbindung im Pflanzenartikel; als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+CHD+AR	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · BEARBEITEN · AUSGANG	Bearbeite vom Ausgang als Ausführung.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	ochedar	Bearbeite den Stationsposten [wie zuvor]; von der Ausgangsstation; als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+CHD+Y	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · BEARBEITEN · POSTEN	Bearbeite den Posten als Ausführung.	2	OBSERVED_EVENT_COUNT	HERBAL	ochdy	Bearbeite den Pflanzenposten; als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+DA+E+IIN	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · ZWEITE STUFE · GRAD I · STUFE	Auf der zweiten Stufe, auf Grad I und auf der bezeichneten Stufe.	1	OBSERVED_EVENT_COUNT	CELESTIAL	odaeiin	Im laufenden Gang wähle den Positionsposten [wie zuvor]; als Ausführung, auf der zweiten Stufe, auf Grad I und auf der bezeichneten Stufe.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+DA+L	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · ZWEITE STUFE · VERBINDUNG	Über die Verbindung auf der zweiten Stufe.	1	OBSERVED_EVENT_COUNT	CELESTIAL	odal	Im laufenden Gang setze den Positionswert [wie zuvor]; über die Ringverbindung; als Ausführung und auf der zweiten Stufe.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+DA+LOCAL_CHAR_I+IIN	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · ZWEITE STUFE · VARIANTE · STUFE	Auf der zweiten Stufe und auf der bezeichneten Stufe mit der lokalen Variante.	1	OBSERVED_EVENT_COUNT	CELESTIAL	odaiiin	Im laufenden Gang wähle den Positionsposten [wie zuvor]; als Ausführung, auf der zweiten Stufe und auf der bezeichneten Stufe; mit der lokalen Variante.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+DA+S	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · ZWEITE STUFE · WÄHLEN	Wähle auf der zweiten Stufe als Ausführung.	1	OBSERVED_EVENT_COUNT	CELESTIAL	odas	Wähle den Positionswert [wie zuvor]; als Ausführung und auf der zweiten Stufe.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+DY	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · SCHLUSS	Schließe den Schritt.	5	OBSERVED_EVENT_COUNT	BIOLOGICAL|HERBAL	ody	Im laufenden Gang markiere die Arbeitseinheit [wie zuvor]; als Ausführung; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+D_ADDR+AIIN	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · HIER · WERT	Führe den Wert aus hier.	6	OBSERVED_EVENT_COUNT	BIOLOGICAL|HERBAL|PHARMA|SOURCE_SECTION_T	odaiin	Im laufenden Gang halte den Kennwert fest; als Ausführung; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+D_ADDR+AIIN+M_LOCAL	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · HIER · WERT · HIER	Führe den Wert aus hier und hier.	1	OBSERVED_EVENT_COUNT	HERBAL	odaiim	Im laufenden Gang nimm den Arbeitswert; als Ausführung; an der bezeichneten Stelle und an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+D_ADDR+AIN	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · HIER · ANTEIL	Führe den Anteil aus hier.	1	OBSERVED_EVENT_COUNT	CELESTIAL	odain	Im laufenden Gang setze den Sektoranteil; als Ausführung; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+D_ADDR+AM_ADDR	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · HIER · HIER	Hier und hier.	1	OBSERVED_EVENT_COUNT	HERBAL	qodam	Im laufenden Gang wähle den Pflanzenposten [wie zuvor]; als Ausführung; an der bezeichneten Stelle und an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+D_ADDR+AR	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · HIER · AUSGANG	Vom Ausgang hier.	4	OBSERVED_EVENT_COUNT	BIOLOGICAL|CELESTIAL|HERBAL|SOURCE_SECTION_T	odar	Von der Ausgangszeile; als Ausführung; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+D_ADDR+CH+EE+S	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · HIER · NEHMEN · GRAD II · WÄHLEN	Nimm; wähle auf Grad II als Ausführung hier.	1	OBSERVED_EVENT_COUNT	HERBAL	odchees	Nimm den Pflanzenposten [wie zuvor] und wähle den Pflanzenposten [wie zuvor]; als Ausführung und auf Grad II; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+D_ADDR+CH+T+Y	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · HIER · NEHMEN · EINSTELLEN · POSTEN	Nimm den Posten; stelle den Posten ein als Ausführung hier.	1	OBSERVED_EVENT_COUNT	HERBAL	qodcthy	Nimm den Pflanzenposten und stelle den Pflanzenposten ein; als Ausführung; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+D_ADDR+EE+DY	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · HIER · GRAD II · SCHLUSS	Auf Grad II hier; schließe den Schritt.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	qodeedy	Im laufenden Gang stelle den Stationsposten [wie zuvor] ein; als Ausführung und auf Grad II; an der bezeichneten Stelle; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+D_ADDR+L	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · HIER · VERBINDUNG	Über die Verbindung hier.	1	OBSERVED_EVENT_COUNT	HERBAL	odl	Im laufenden Gang nimm den Arbeitswert [wie zuvor]; über die Verbindung im Pflanzenartikel; als Ausführung; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+D_ADDR+OR	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · HIER · EINHEIT	Führe die Einheit aus hier.	1	OBSERVED_EVENT_COUNT	HERBAL	odor	Im laufenden Gang nimm die Arbeitseinheit; als Ausführung; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+D_ADDR+S	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · HIER · WÄHLEN	Wähle als Ausführung hier.	1	OBSERVED_EVENT_COUNT	HERBAL	ods	Wähle den Pflanzenposten [wie zuvor]; als Ausführung; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+D_ADDR+Y	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · HIER · POSTEN	Führe den Posten aus hier.	1	OBSERVED_EVENT_COUNT	HERBAL	qodchy	Im laufenden Gang gib den Pflanzenposten zu; als Ausführung; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+E+AR	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · GRAD I · AUSGANG	Vom Ausgang auf Grad I.	1	OBSERVED_EVENT_COUNT	CELESTIAL	oear	Im laufenden Gang setze den Positionswert [wie zuvor]; von der Ausgangsposition; als Ausführung und auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+E+CH+K+Y	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · GRAD I · NEHMEN · GEBEN · POSTEN	Nimm den Posten; gib den Posten auf Grad I als Ausführung.	1	OBSERVED_EVENT_COUNT	PHARMA	oeckhy	Nimm den Drogenposten und gib den Drogenposten zu; als Ausführung und auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+E+D_ADDR+AIN	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · GRAD I · HIER · ANTEIL	Führe den Anteil aus auf Grad I hier.	1	OBSERVED_EVENT_COUNT	HERBAL	oedain	Im laufenden Gang bearbeite den Materialanteil; als Ausführung und auf Grad I; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+E+K+AIN	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · GRAD I · GEBEN · ANTEIL	Gib den Anteil auf Grad I als Ausführung.	1	OBSERVED_EVENT_COUNT	CELESTIAL	oekain	Ordne den Sektoranteil zu; als Ausführung und auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+E+K+E+OL	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · GRAD I · GEBEN · GRAD I · FORTSETZEN	Weiter: Gib auf Grad I und auf Grad I als Ausführung.	1	OBSERVED_EVENT_COUNT	PHARMA	qoekeol	Weiter gib den Drogenposten [wie zuvor] zu; als Ausführung, auf Grad I und auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+E+K+SH+Y	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · GRAD I · GEBEN · HALTEN · POSTEN	Gib den Posten; halte den Posten auf Grad I als Ausführung.	1	OBSERVED_EVENT_COUNT	HERBAL	oekshy	Gib den Pflanzenposten zu und halte den Pflanzenposten; als Ausführung und auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+E+OR	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · GRAD I · EINHEIT	Führe die Einheit aus auf Grad I.	1	OBSERVED_EVENT_COUNT	HERBAL	oeor	Im laufenden Gang wähle die Arbeitseinheit; als Ausführung und auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+E+P+AIIN	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · GRAD I · EINSETZEN · WERT	Setze den Wert ein auf Grad I als Ausführung.	1	OBSERVED_EVENT_COUNT	HERBAL	oepaiin	Setze den Arbeitswert ein; als Ausführung und auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+E+S+E+AR+LOCAL_CHAR_I+E+S	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · GRAD I · WÄHLEN · GRAD I · AUSGANG · VARIANTE · GRAD I · WÄHLEN	Wähle; wähle vom Ausgang auf Grad I, auf Grad I und auf Grad I als Ausführung mit der lokalen Variante.	1	OBSERVED_EVENT_COUNT	HERBAL	oesearies	Wähle den Pflanzenposten [wie zuvor] und wähle den Pflanzenposten [wie zuvor]; vom Ausgangsmaterial; als Ausführung, auf Grad I, auf Grad I und auf Grad I; mit der lokalen Variante.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+EE+O+S	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · GRAD II · AUSFÜHRUNG · WÄHLEN	Wähle auf Grad II als Ausführung.	1	OBSERVED_EVENT_COUNT	CELESTIAL	oeeos	Wähle den Positionsposten [wie zuvor]; als Ausführung, auf Grad II und als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+EE+OR	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · GRAD II · EINHEIT	Führe die Einheit aus auf Grad II.	1	OBSERVED_EVENT_COUNT	PHARMA	oeeor	Im laufenden Gang setze die Ansatzeinheit ein; als Ausführung und auf Grad II.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+EE+Y	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · GRAD II · POSTEN	Führe den Posten aus auf Grad II.	3	OBSERVED_EVENT_COUNT	CELESTIAL|PHARMA	qoeeeo	Im laufenden Gang ordne den Positionsposten zu; als Ausführung und auf Grad II.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+EEE+DY	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · GRAD III · SCHLUSS	Auf Grad III; schließe den Schritt.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	oeeedy	Im laufenden Gang halte den Stationsanteil [wie zuvor]; als Ausführung und auf Grad III; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+EEE+D_ADDR	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · GRAD III · HIER	Auf Grad III hier.	1	OBSERVED_EVENT_COUNT	HERBAL	oeeed	Im laufenden Gang gib den Arbeitswert [wie zuvor] zu; als Ausführung und auf Grad III; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+EEE+S	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · GRAD III · WÄHLEN	Wähle auf Grad III als Ausführung.	1	OBSERVED_EVENT_COUNT	HERBAL	oeees	Wähle den Arbeitswert [wie zuvor]; als Ausführung und auf Grad III.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+EEE+Y	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · GRAD III · POSTEN	Führe den Posten aus auf Grad III.	1	OBSERVED_EVENT_COUNT	HERBAL	oeeey	Im laufenden Gang nimm den Pflanzenposten; als Ausführung und auf Grad III.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+G_LABEL	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · VARIANTE	Mit der lokalen Variante.	1	OBSERVED_EVENT_COUNT	CELESTIAL	og	Im laufenden Gang stelle den Positionsposten [wie zuvor] ein; als Ausführung; mit der lokalen Variante.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+IIN	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · STUFE	Auf der bezeichneten Stufe.	13	OBSERVED_EVENT_COUNT	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	oiin	Im laufenden Gang halte den Teilwert [wie zuvor] fest; als Ausführung und auf der bezeichneten Stufe.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+L+SH+E+O+D_ADDR+Y	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · VERBINDUNG · HALTEN · GRAD I · AUSFÜHRUNG · HIER · POSTEN	Halte den Posten über die Verbindung auf Grad I als Ausführung hier.	1	OBSERVED_EVENT_COUNT	PHARMA	olsheody	Halte den Drogenposten; über die Gefäßverbindung; als Ausführung, auf Grad I und als Ausführung; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+LOCAL_CHAR_F	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · HIER	Mit der lokalen Variante.	1	OBSERVED_EVENT_COUNT	HERBAL	qof	Im laufenden Gang halte den Pflanzenposten [wie zuvor]; als Ausführung; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+LOCAL_CHAR_F+AL	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · HIER · ZIELORT	Am Zielort mit der lokalen Variante.	1	OBSERVED_EVENT_COUNT	PHARMA	ofal	Im laufenden Gang nimm den Drogenposten [wie zuvor]; zum Zielgefäß; als Ausführung; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
O+LOCAL_CHAR_F+AR	T0_EXACT_OBSERVED	0	AUSFÜHRUNG · HIER · AUSGANG	Vom Ausgang mit der lokalen Variante.	1	OBSERVED_EVENT_COUNT	CELESTIAL	ofar	Im laufenden Gang markiere den Sektoranteil [wie zuvor]; von der Ausgangsposition; als Ausführung; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
