assignment_ordinal	cohort	event_id	statement_id	physical_page	register	surface	recipe	relation_state_projection	relation_argument_state_projection	relation_occurrence_in_recipe	relation_multiplicity_in_recipe	relation_sequence	relation	relation_value_de	relation_atom_position	recipe_atom_count	left_control	right_control	carrier_envelope	envelope_role	content_block	relation_position_in_block	block_left_edge	block_right_edge	left_content_before_relation	right_content_after_relation	visible_left_actions	visible_right_actions	visible_left_arguments	visible_right_arguments	local_payload_geometry	root_geometry_default	compact_relation_reading_de	literal_rich_projection_de	statement_position	statement_final	current_reading_de	guard	substitution_family_id
190	OLD26_GDT407	G407-E4453	G407-S692	f95v	HERBAL	ldy	L+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	2	START	DY	START>R<DY	RELATION_THEN_CLOSE	L	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	STATEMENT_FINAL	YES	VERBINDUNG · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F04
191	OLD26_GDT407	G407-E4472	G407-S695	f95v	HERBAL	otar	OT+AR	OT+AR	OT+AR	1	1	AR	AR	AUSGANG	2	2	OT	END	OT>R<END	NEXT_RELATION_VALUE	AR	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	DANACH · AUSGANG	DANACH · AUSGANG	STATEMENT_INTERNAL	NO	DANACH · AUSGANG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F02
192	OLD26_GDT407	G407-E4475	G407-S696	f95v	HERBAL	otal	OT+AL	OT+AL	OT+AL	1	1	AL	AL	ZIELORT	2	2	OT	END	OT>R<END	NEXT_RELATION_VALUE	AL	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	DANACH · ZIELORT	DANACH · ZIELORT	STATEMENT_INITIAL	NO	DANACH · ZIELORT	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F02
193	OLD26_GDT407	G407-E4494	G407-S698	f95v	HERBAL	otaldy	OT+AL+DY	OT+AL+DY	OT+AL+DY	1	1	AL	AL	ZIELORT	2	3	OT	DY	OT>R<DY	NEXT_RELATION_THEN_CLOSE	AL	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	DANACH · ZIELORT · ABSCHLIESSEN	DANACH · ZIELORT · ABSCHLIESSEN	STATEMENT_FINAL	YES	DANACH · ZIELORT · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F12
194	OLD26_GDT407	G407-E4500	G407-S700	f95v	HERBAL	otal	OT+AL	OT+AL	OT+AL	1	1	AL	AL	ZIELORT	2	2	OT	END	OT>R<END	NEXT_RELATION_VALUE	AL	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	DANACH · ZIELORT	DANACH · ZIELORT	STATEMENT_INTERNAL	NO	DANACH · ZIELORT	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F02
195	OLD26_GDT407	G407-E4517	G407-S705	f95v	HERBAL	olkar	OL+K+AR	OL+AR	OL+AR	1	1	AR	AR	AUSGANG	3	3	OL	END	OL>R<END	CONTINUED_RELATION_VALUE	K+AR	2	NO	YES	K	NONE	K	NONE	NONE	NONE	BACKWARD_FROM_VISIBLE_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	FORTSETZEN · AUSGANG	FORTSETZEN · AUSGANG	STATEMENT_INTERNAL	NO	FORTSETZEN · GEBEN · AUSGANG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F06
196	OLD26_GDT407	G407-E4520	G407-S705	f95v	HERBAL	otar	OT+AR	OT+AR	OT+AR	1	1	AR	AR	AUSGANG	2	2	OT	END	OT>R<END	NEXT_RELATION_VALUE	AR	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	DANACH · AUSGANG	DANACH · AUSGANG	STATEMENT_INTERNAL	NO	DANACH · AUSGANG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F02
197	OLD26_GDT407	G407-E4524	G407-S705	f95v	HERBAL	otardy	OT+AR+DY	OT+AR+DY	OT+AR+DY	1	1	AR	AR	AUSGANG	2	3	OT	DY	OT>R<DY	NEXT_RELATION_THEN_CLOSE	AR	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	DANACH · AUSGANG · ABSCHLIESSEN	DANACH · AUSGANG · ABSCHLIESSEN	STATEMENT_FINAL	YES	DANACH · AUSGANG · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F12
198	CURRENT4_GDT539	G515-E0175	G515-S010	f31r	HERBAL	qotar	OT+AR	OT+AR	OT+AR	1	1	AR	AR	AUSGANG	2	2	OT	END	OT>R<END	NEXT_RELATION_VALUE	AR	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	DANACH · AUSGANG	DANACH · AUSGANG	STATEMENT_INTERNAL	NO	Danach: im laufenden Satz wähle den Arbeitswert [wie zuvor]; vom Ausgangsmaterial.	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F02
199	CURRENT4_GDT539	G515-E0203	G515-S014	f31r	HERBAL	ldy	L+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	2	START	DY	START>R<DY	RELATION_THEN_CLOSE	L	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	STATEMENT_FINAL	YES	Im laufenden Satz bearbeite den Pflanzenposten [wie zuvor]; über die Verbindung im Pflanzenartikel; schließe den Schritt.	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F04
200	CURRENT4_GDT539	G515-E0332	G515-S037	f66r	SOURCE_SECTION_T	qotedal	OT+E+AL	OT+AL	OT+AL	1	1	AL	AL	ZIELORT	3	3	OT	END	OT>R<END	NEXT_RELATION_VALUE	E+AL	2	NO	YES	E	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	DANACH · ZIELORT	DANACH · ZIELORT	STATEMENT_INTERNAL	NO	Danach: im laufenden Satz bearbeite den laufenden Eintrag [wie zuvor]; zur Zielspalte; auf Grad I.	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F11
201	CURRENT4_GDT539	G515-E0379	G515-S042	f66r	SOURCE_SECTION_T	dalalshedy	AL+AL+SH+E+DY	AL+AL+DY	AL+AL+DY	1	2	AL+AL	AL	ZIELORT	1	5	START	DY	START>R<DY	RELATION_THEN_CLOSE	AL+AL+SH+E	1	YES	NO	NONE	AL+SH+E	NONE	SH	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	ZIELORT · ABSCHLIESSEN	ZIELORT · ZIELORT · ABSCHLIESSEN	STATEMENT_FINAL	YES	Halte den laufenden Eintrag [wie zuvor] fest; zur Zielspalte [außen] und zur Zielspalte [innen]; auf Grad I; schließe den Schritt.	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
202	CURRENT4_GDT539	G515-E0379	G515-S042	f66r	SOURCE_SECTION_T	dalalshedy	AL+AL+SH+E+DY	AL+AL+DY	AL+AL+DY	2	2	AL+AL	AL	ZIELORT	2	5	START	DY	START>R<DY	RELATION_THEN_CLOSE	AL+AL+SH+E	2	NO	NO	AL	SH+E	NONE	SH	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	ZIELORT · ABSCHLIESSEN	ZIELORT · ZIELORT · ABSCHLIESSEN	STATEMENT_FINAL	YES	Halte den laufenden Eintrag [wie zuvor] fest; zur Zielspalte [außen] und zur Zielspalte [innen]; auf Grad I; schließe den Schritt.	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
203	CURRENT4_GDT539	G515-E0394	G515-S043	f66r	SOURCE_SECTION_T	kardy	K+AR+DY	AR+DY	AR+DY	1	1	AR	AR	AUSGANG	2	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	K+AR	2	NO	YES	K	NONE	K	NONE	NONE	NONE	BACKWARD_FROM_VISIBLE_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	AUSGANG · ABSCHLIESSEN	AUSGANG · ABSCHLIESSEN	STATEMENT_FINAL	YES	Ordne den laufenden Eintrag [wie zuvor] zu; von der Ausgangszeile; schließe den Schritt.	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
204	CURRENT4_GDT539	G515-E0416	G515-S047	f66r	SOURCE_SECTION_T	qotar	OT+AR	OT+AR	OT+AR	1	1	AR	AR	AUSGANG	2	2	OT	END	OT>R<END	NEXT_RELATION_VALUE	AR	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	DANACH · AUSGANG	DANACH · AUSGANG	STATEMENT_INTERNAL	NO	Danach: im laufenden Satz halte den Kennwert [wie zuvor] fest; von der Ausgangszeile.	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F02
205	CURRENT4_GDT539	G515-E0417	G515-S047	f66r	SOURCE_SECTION_T	otalor	OT+AL+OR	OT+AL	OT+AL+OR	1	1	AL	AL	ZIELORT	2	3	OT	END	OT>R<END	NEXT_RELATION_VALUE	AL+OR	1	YES	NO	NONE	OR	NONE	NONE	NONE	OR	FORWARD_TO_VISIBLE_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	DANACH · ZIELORT	DANACH · ZIELORT · EINHEIT	STATEMENT_INTERNAL	NO	Danach: im laufenden Satz halte die Eintragseinheit fest; zur Zielspalte.	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
206	CURRENT4_GDT539	G515-E0425	G515-S047	f66r	SOURCE_SECTION_T	dairody	D_ADDR+AIR+O+DY	AIR+DY	AIR+DY	1	1	AIR	AIR	BAHN	2	4	START	DY	START>R<DY	RELATION_THEN_CLOSE	D_ADDR+AIR+O	2	NO	NO	D_ADDR	O	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SPARSE_PATH_DESCRIPTOR__NO_STATE_SUBSTITUTION	BAHN · ABSCHLIESSEN	BAHN · ABSCHLIESSEN	STATEMENT_FINAL	YES	Im laufenden Satz halte den laufenden Eintrag [wie zuvor] fest; entlang der Lesebahn; zur Ausführung; an der bezeichneten Stelle; schließe den Schritt.	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
207	CURRENT4_GDT539	G515-E0456	G515-S053	f66r	SOURCE_SECTION_T	ytarody	Y+T+AR+O+DY	AR+DY	Y+AR+DY	1	1	AR	AR	AUSGANG	3	5	START	DY	START>R<DY	RELATION_THEN_CLOSE	Y+T+AR+O	3	NO	NO	Y+T	O	T	NONE	Y	NONE	BACKWARD_FROM_VISIBLE_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	AUSGANG · ABSCHLIESSEN	POSTEN · AUSGANG · ABSCHLIESSEN	STATEMENT_FINAL	YES	Lege den laufenden Eintrag fest; von der Ausgangszeile; zur Ausführung; schließe den Schritt.	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
208	CURRENT4_GDT539	G515-E0470	G515-S056	f66r	SOURCE_SECTION_T	dolarshy	D_ADDR+OL+AR+SH+Y	OL+AR	OL+AR+Y	1	1	AR	AR	AUSGANG	3	5	OL	END	OL>R<END	CONTINUED_RELATION_VALUE	AR+SH+Y	1	YES	NO	NONE	SH+Y	NONE	SH	NONE	Y	FORWARD_TO_VISIBLE_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	FORTSETZEN · AUSGANG	FORTSETZEN · AUSGANG · POSTEN	STATEMENT_INTERNAL	NO	Halte den laufenden Eintrag fest; von der Ausgangszeile; an der bezeichneten Stelle; führe fort.	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
209	CURRENT4_GDT539	G515-E0508	G515-S063	f66r	SOURCE_SECTION_T	lshedy	L+SH+E+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	4	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+SH+E	1	YES	NO	NONE	SH+E	NONE	SH	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	STATEMENT_FINAL	YES	Halte den laufenden Eintrag [wie zuvor] fest; über die Eintragsverbindung; auf Grad I; schließe den Schritt.	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F05
210	CURRENT4_GDT539	G515-E0539	G515-S068	f66r	SOURCE_SECTION_T	ltsholy	L+T+SH+OL+Y	L+OL	L+OL+Y	1	1	L	L	VERBINDUNG	1	5	START	OL	START>R<OL	RELATION_RETAINED_BY_OL	L+T+SH	1	YES	NO	NONE	T+SH	NONE	T+SH	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · FORTSETZEN	VERBINDUNG · FORTSETZEN · POSTEN	STATEMENT_INTERNAL	NO	Lege den laufenden Eintrag fest und halte den laufenden Eintrag fest; über die Eintragsverbindung; führe fort.	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
211	CURRENT4_GDT539	G515-E0550	G515-S069	f66r	SOURCE_SECTION_T	qotal	OT+AL	OT+AL	OT+AL	1	1	AL	AL	ZIELORT	2	2	OT	END	OT>R<END	NEXT_RELATION_VALUE	AL	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	DANACH · ZIELORT	DANACH · ZIELORT	STATEMENT_INTERNAL	NO	Danach: im laufenden Satz lege den laufenden Eintrag [wie zuvor] fest; zur Zielspalte.	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F02
212	CURRENT4_GDT539	G515-E0561	G515-S070	f66r	SOURCE_SECTION_T	ldy	L+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	2	START	DY	START>R<DY	RELATION_THEN_CLOSE	L	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	STATEMENT_FINAL	YES	Im laufenden Satz trage den laufenden Eintrag [wie zuvor] ein; über die Eintragsverbindung; schließe den Schritt.	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F04
213	CURRENT4_GDT539	G515-E0565	G515-S071	f66r	SOURCE_SECTION_T	lshedy	L+SH+E+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	4	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+SH+E	1	YES	NO	NONE	SH+E	NONE	SH	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	STATEMENT_FINAL	YES	Halte den Kennwert [wie zuvor] fest; über die Eintragsverbindung; auf Grad I; schließe den Schritt.	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F05
214	CURRENT4_GDT539	G515-E0566	G515-S072	f66r	SOURCE_SECTION_T	lchedy	L+CHD+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+CHD	1	YES	NO	NONE	CHD	NONE	CHD	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	SINGLETON_STATEMENT	YES	Bearbeite; über die Eintragsverbindung; schließe den Schritt.	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F03
215	CURRENT4_GDT539	G515-E0569	G515-S073	f66r	SOURCE_SECTION_T	dalol	AL+OL	AL+OL	AL+OL	1	1	AL	AL	ZIELORT	1	2	START	OL	START>R<OL	RELATION_RETAINED_BY_OL	AL	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	ZIELORT · FORTSETZEN	ZIELORT · FORTSETZEN	STATEMENT_INTERNAL	NO	Im laufenden Satz ordne den laufenden Eintrag [wie zuvor] zu; zur Zielspalte; führe fort.	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F01
216	CURRENT4_GDT539	G515-E0585	G515-S078	f66r	SOURCE_SECTION_T	lkeol	L+K+E+OL	L+OL	L+OL	1	1	L	L	VERBINDUNG	1	4	START	OL	START>R<OL	RELATION_RETAINED_BY_OL	L+K+E	1	YES	NO	NONE	K+E	NONE	K	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · FORTSETZEN	VERBINDUNG · FORTSETZEN	STATEMENT_INTERNAL	NO	Ordne den laufenden Eintrag [wie zuvor] zu; über die Eintragsverbindung; auf Grad I; führe fort.	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
