unit_order	page	unit_id	unit_kind	owner_or_namespace	group_count	surface_sequence	atom_sequence	short_workshop_reading_de	fully_spoken_reading_de	memory_or_orientation_rule	local_boundary
170	f67r2	f67r2.54	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_OUTER_STAR_STATION_03	2	y saldal	NONE | AL+AL	dieser lokale Diagrammposten; Zielsektor, Zielstern oder Zielfeld + Zielsektor, Zielstern oder Zielfeld	Lies diesen sichtbaren Posten nur im gewählten Rad: dieser lokale Diagrammposten; Zielsektor, Zielstern oder Zielfeld + Zielsektor, Zielstern oder Zielfeld. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
171	f67r2	f67r2.55	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_OUTER_STAR_STATION_04	1	ytodal	YT+AL	bezeichneter Platz oder Phase + AL	Lies diesen sichtbaren Posten nur im gewählten Rad: bezeichneter Platz oder Phase + AL. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
172	f67r2	f67r2.56	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_OUTER_STAR_STATION_05	2	tol daiin	OL | AIIN	Fortsetzen; Sollwert	Lies diesen sichtbaren Posten nur im gewählten Rad: Fortsetzen; Sollwert. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
173	f67r2	f67r2.57	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_OUTER_STAR_STATION_06	2	otar dy	OT+AR | NONE	danach vom bezeichneten Ausgangsplatz; dieser lokale Diagrammposten	Lies diesen sichtbaren Posten nur im gewählten Rad: danach vom bezeichneten Ausgangsplatz; dieser lokale Diagrammposten. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
174	f67r2	f67r2.58	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_OUTER_STAR_STATION_07	3	cho dal g	HO | AL | G	Eingangsposten oder Zutat; Ziel; GRAD	Lies diesen sichtbaren Posten nur im gewählten Rad: Eingangsposten oder Zutat; Ziel; GRAD. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
175	f67r2	f67r2.59	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_OUTER_STAR_STATION_08	1	ytchodly	YT+HO	bezeichneter Platz oder Phase + HO	Lies diesen sichtbaren Posten nur im gewählten Rad: bezeichneter Platz oder Phase + HO. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
176	f67r2	f67r2.60	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_OUTER_STAR_STATION_09	1	octhys	CTH	sekundäre Grundbedingung	Lies diesen sichtbaren Posten nur im gewählten Rad: sekundäre Grundbedingung. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
177	f67r2	f67r2.61	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_OUTER_STAR_STATION_10	1	ytokar	YT+OK+AR	bezeichneter Platz oder Phase + OK+AR	Lies diesen sichtbaren Posten nur im gewählten Rad: bezeichneter Platz oder Phase + OK+AR. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
178	f67r2	f67r2.62	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_OUTER_STAR_STATION_11	1	otolor	OT+OL+OR	Folge + Fortsetzen + Ansatz/Satz	Lies diesen sichtbaren Posten nur im gewählten Rad: Folge + Fortsetzen + Ansatz/Satz. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
179	f67r2	f67r2.63	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_OUTER_STAR_STATION_12	1	okodar	OK+OD+AR	markierte Quelle aktivieren	Lies diesen sichtbaren Posten nur im gewählten Rad: markierte Quelle aktivieren. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
180	f67r2	f67r2.64	ASTRO_LOCUS	F67_RIGHT_WHEEL_NS::A1_RIGHT_PHASE_STATION_01	2	s air	S | AIR	Nebenwert; Himmels-, Ring- oder Zeigerlauf	Lies diesen sichtbaren Posten nur im gewählten Rad: Nebenwert; Himmels-, Ring- oder Zeigerlauf. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
181	f67r2	f67r2.65	ASTRO_LOCUS	F67_RIGHT_WHEEL_NS::A1_RIGHT_PHASE_STATION_02	1	soear	AR	Ausgangssektor, Ursprung oder Bezugswert	Lies diesen sichtbaren Posten nur im gewählten Rad: Ausgangssektor, Ursprung oder Bezugswert. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
182	f67r2	f67r2.66	ASTRO_LOCUS	F67_RIGHT_WHEEL_NS::A1_RIGHT_PHASE_STATION_03	1	cpheey	EE	lange Tabellenstufe	Lies diesen sichtbaren Posten nur im gewählten Rad: lange Tabellenstufe. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
183	f67r2	f67r2.67	ASTRO_LOCUS	F67_RIGHT_WHEEL_NS::A1_RIGHT_PHASE_STATION_04	1	okodar	OK+OD+AR	markierte Quelle aktivieren	Lies diesen sichtbaren Posten nur im gewählten Rad: markierte Quelle aktivieren. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
184	f67r2	f67r2.68	ASTRO_LOCUS	F67_RIGHT_WHEEL_NS::A1_RIGHT_PHASE_STATION_05	1	oepchod	HO	Himmelsobjekt oder Eingangsbedingung	Lies diesen sichtbaren Posten nur im gewählten Rad: Himmelsobjekt oder Eingangsbedingung. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
185	f67r2	f67r2.69	ASTRO_LOCUS	F67_RIGHT_WHEEL_NS::A1_RIGHT_PHASE_STATION_06	2	s ay	S | A+Y	Nebenwert; aktueller Hauptwert	Lies diesen sichtbaren Posten nur im gewählten Rad: Nebenwert; aktueller Hauptwert. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
186	f67r2	f67r2.70	ASTRO_LOCUS	F67_RIGHT_WHEEL_NS::A1_RIGHT_PHASE_STATION_07	1	osar	OS+AR	Feldquelle	Lies diesen sichtbaren Posten nur im gewählten Rad: Feldquelle. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
187	f67r2	f67r2.71	ASTRO_LOCUS	F67_RIGHT_WHEEL_NS::A1_RIGHT_PHASE_STATION_08	1	oran	OR	Bedingungs-, Tabellen- oder Wahlansatz	Lies diesen sichtbaren Posten nur im gewählten Rad: Bedingungs-, Tabellen- oder Wahlansatz. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
188	f67r2	f67r2.72	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_OUTER_RING_TEXT	12	dar aldaiin ydaiin qkoy ydaiin qofair ypair ykoaiin ydoly ytalchos oly okey	AR | AL+AIIN | YD+AIIN | K+O+Y | YD+AIIN | AIR | AIR | YK+AIIN | YD+OL | YT+AL+HO | OL | OK	Quelle; Ziel-Sollwert; Sollwert der aktiven Zeile; aktuelle Grundklasse; Sollwert der aktiven Zeile; Himmels-, Ring- oder Zeigerlauf; Himmels-, Ring- oder Zeigerlauf; bezeichnete Klasse oder Haus + AIIN; aktive Zeile fortsetzen; bezeichneter Platz oder Phase + AL+HO; im selben Ring, Band oder Satz fortsetzen; in kurzer Stufe setzen	Lies diesen sichtbaren Posten nur im gewählten Rad: Quelle; Ziel-Sollwert; Sollwert der aktiven Zeile; aktuelle Grundklasse; Sollwert der aktiven Zeile; Himmels-, Ring- oder Zeigerlauf; Himmels-, Ring- oder Zeigerlauf; bezeichnete Klasse oder Haus + AIIN; aktive Zeile fortsetzen; bezeichneter Platz oder Phase + AL+HO; im selben Ring, Band oder Satz fortsetzen; in kurzer Stufe setzen. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
189	f67r2	f67r2.73	ASTRO_LOCUS	F67_RIGHT_WHEEL_NS::A1_RIGHT_OUTER_RING_TEXT	11	sshey sy shees qeykeey ykchey ykchey qokeochy oaiin okol ar olar	CHEEY | NONE | SH+EE | EE | YK+KCH | YK+KCH | OK | AIIN | OK+OL | AR | OL+AR	Ablesewert; dieser lokale Diagrammposten; länger halten; lange Tabellenstufe; bezeichnete Klasse oder Haus + KCH; bezeichnete Klasse oder Haus + KCH; Diagrammposten setzen oder aktivieren; Sollwert; Fortsetzung aktivieren; Ausgangssektor, Ursprung oder Bezugswert; VON DER QUELLE WEITER	Lies diesen sichtbaren Posten nur im gewählten Rad: Ablesewert; dieser lokale Diagrammposten; länger halten; lange Tabellenstufe; bezeichnete Klasse oder Haus + KCH; bezeichnete Klasse oder Haus + KCH; Diagrammposten setzen oder aktivieren; Sollwert; Fortsetzung aktivieren; Ausgangssektor, Ursprung oder Bezugswert; VON DER QUELLE WEITER. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
190	f67r2	f67r2.74	ASTRO_LOCUS	F67_PAIRED_LEGEND_QUARANTINE_NS::A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	13	yshey qokeeody cheos oeeos qockhy chos aiin okeeody qokoaiin odain ar air ay	Y+CHEEY | OK+EE+OD+Y | CHEO | EE+OS | CKH | HO | AIIN | OK+EE+OD+Y | OK+AIIN | OD+AIN | AR | AIR | A+Y	aktueller Ablesewert; diesen Posten länger aktivieren und eintragen; Ausgabe/Auszug; langes oder zweites Feld; durch Sektor, Ring oder Pruefweg fuehren; Eingangsposten; Sollwert oder Grad des bezeichneten Himmelsplatzes; diesen Posten länger aktivieren und eintragen; Sollwert aktivieren; Portion markieren; Ausgangssektor, Ursprung oder Bezugswert; Himmels-, Ring- oder Zeigerlauf; aktueller Hauptwert	Kopiere diesen Hinweis separat und lasse seine Zuordnung offen: aktueller Ablesewert; diesen Posten länger aktivieren und eintragen; Ausgabe/Auszug; langes oder zweites Feld; durch Sektor, Ring oder Pruefweg fuehren; Eingangsposten; Sollwert oder Grad des bezeichneten Himmelsplatzes; diesen Posten länger aktivieren und eintragen; Sollwert aktivieren; Portion markieren; Ausgangssektor, Ursprung oder Bezugswert; Himmels-, Ring- oder Zeigerlauf; aktueller Hauptwert. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
191	f68r1	f68r1.1	ASTRO_LOCUS	F68_LEFT_PANEL_HEADER_NS::A2_LEFT_PANEL_HEADER	9	shokchy chteey choteey cphol cheor opcheeol otor choctheeey okchoal	HO+KCH | EE | HO+OT+EE | OL | CHEO | OP+EE+OL | OT+OR | HO+CTH+EEE | KCH+AL	Eingangsposten + Bearbeiten; lange Tabellenstufe; nächsten Eingangsposten länger halten; im selben Ring, Band oder Satz fortsetzen; Bedingungs-, Tabellen- oder Wahlansatz; Paarfeld länger fortsetzen; nächster Satz; Eingangsposten vollständig bereit; Bearbeiten + Ziel	Setze den lokalen Modus dieses Teilbildes: Eingangsposten + Bearbeiten; lange Tabellenstufe; nächsten Eingangsposten länger halten; im selben Ring, Band oder Satz fortsetzen; Bedingungs-, Tabellen- oder Wahlansatz; Paarfeld länger fortsetzen; nächster Satz; Eingangsposten vollständig bereit; Bearbeiten + Ziel. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
192	f68r1	f68r1.2	ASTRO_LOCUS	F68_MIDDLE_PANEL_HEADER_NS::A2_MIDDLE_PANEL_HEADER	9	tochso otchl qokeeedy cheey cheeteey yteody chpor cheokorchey chod	T+O+CH+S | OT | OK | CHEEY | EE+EE | YT+E+OD+Y | OR | CHEO+OR | HO	sekundärer Grundzustand der Phase; naechster Platz oder folgende Bedingung; vollstaendig setzen und den Eintrag schliessen; sichtbares Ergebnis / Ablesewert; zwei lange Tabellenstufen; diesen Platz kurz markieren; Bedingungs-, Tabellen- oder Wahlansatz; Auszug/Ausgabe + Ansatz/Satz; Eingangsposten	Setze den lokalen Modus dieses Teilbildes: sekundärer Grundzustand der Phase; naechster Platz oder folgende Bedingung; vollstaendig setzen und den Eintrag schliessen; sichtbares Ergebnis / Ablesewert; zwei lange Tabellenstufen; diesen Platz kurz markieren; Bedingungs-, Tabellen- oder Wahlansatz; Auszug/Ausgabe + Ansatz/Satz; Eingangsposten. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
193	f68r1	f68r1.3	ASTRO_LOCUS	F68_RIGHT_PANEL_HEADER_NS::A2_RIGHT_PANEL_HEADER	8	ykor shey qocheey chokal okeey ror eckhear daram	YK+OR | CHEEY | CHEEY | HO+AL | OK | OR | CKHE+AR | AR+AM	bezeichnete Klasse oder Haus + OR; sichtbares Ergebnis / Ablesewert; Ablesewert; Eingangsposten + Ziel; in langer Stufe setzen; Bedingungs-, Tabellen- oder Wahlansatz; Seihen/Trennen + Quelle; Quellaspekt	Setze den lokalen Modus dieses Teilbildes: bezeichnete Klasse oder Haus + OR; sichtbares Ergebnis / Ablesewert; Ablesewert; Eingangsposten + Ziel; in langer Stufe setzen; Bedingungs-, Tabellen- oder Wahlansatz; Seihen/Trennen + Quelle; Quellaspekt. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
194	f68r1	f68r1.4	ASTRO_LOCUS	F68_MULTIPANEL_HEADER_QUARANTINE_NS::A2_MULTIPANEL_HEADER_FRAGMENT_04	2	dchor okaiiin	HO | OK+IIN	Bedingungs-, Tabellen- oder Wahlansatz; Stufe aktivieren	Kopiere diesen Hinweis separat und lasse seine Zuordnung offen: Bedingungs-, Tabellen- oder Wahlansatz; Stufe aktivieren. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
195	f68r1	f68r1.5	ASTRO_LOCUS	F68_MULTIPANEL_HEADER_QUARANTINE_NS::A2_MULTIPANEL_HEADER_FRAGMENT_05	1	yky	YK	bezeichnete Klasse oder Haus	Kopiere diesen Hinweis separat und lasse seine Zuordnung offen: bezeichnete Klasse oder Haus. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
196	f68r1	f68r1.6	ASTRO_LOCUS	F68_MULTIPANEL_HEADER_QUARANTINE_NS::A2_MULTIPANEL_HEADER_FRAGMENT_06	1	dary	AR	Ausgangssektor, Ursprung oder Bezugswert	Kopiere diesen Hinweis separat und lasse seine Zuordnung offen: Ausgangssektor, Ursprung oder Bezugswert. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
197	f68r1	f68r1.7	ASTRO_LOCUS	F68_MULTIPANEL_HEADER_QUARANTINE_NS::A2_MULTIPANEL_HEADER_FRAGMENT_07	1	chkchykoly	KCH+OL	Bearbeiten + Fortsetzen	Kopiere diesen Hinweis separat und lasse seine Zuordnung offen: Bearbeiten + Fortsetzen. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
198	f68r1	f68r1.8	ASTRO_LOCUS	F68_CENTRE_KEY_QUARANTINE_NS::A2_CENTRE_KEY_UNRESOLVED	1	okodaly	OK+OD+AL+Y	dieses markierte Ziel aktivieren	Kopiere diesen Hinweis separat und lasse seine Zuordnung offen: dieses markierte Ziel aktivieren. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
199	f68r1	f68r1.9	ASTRO_LOCUS	F68_LOCAL_STAR_SLOT_NS::A2_STAR_STATION_01	1	odchecthy	OD+CTH	Bereitbedingung markieren	Wähle diesen gezeichneten Sternplatz: Bereitbedingung markieren. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
200	f68r1	f68r1.10	ASTRO_LOCUS	F68_LOCAL_STAR_SLOT_NS::A2_STAR_STATION_02	1	otcheody	OT+CHEO	Folge + Auszug/Ausgabe	Wähle diesen gezeichneten Sternplatz: Folge + Auszug/Ausgabe. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
201	f68r1	f68r1.11	ASTRO_LOCUS	F68_LOCAL_STAR_SLOT_NS::A2_STAR_STATION_03	1	okoaly	OK+AL+Y	dieses Ziel aktivieren	Wähle diesen gezeichneten Sternplatz: dieses Ziel aktivieren. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
202	f68r1	f68r1.12	ASTRO_LOCUS	F68_LOCAL_STAR_SLOT_NS::A2_STAR_STATION_04	1	chocfhy	HO	Himmelsobjekt oder Eingangsbedingung	Wähle diesen gezeichneten Sternplatz: Himmelsobjekt oder Eingangsbedingung. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
203	f68r1	f68r1.13	ASTRO_LOCUS	F68_LOCAL_STAR_SLOT_NS::A2_STAR_STATION_05	1	octhey	CTH	ausgewählte Grundbedingung	Wähle diesen gezeichneten Sternplatz: ausgewählte Grundbedingung. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
204	f68r1	f68r1.14	ASTRO_LOCUS	F68_LOCAL_STAR_SLOT_NS::A2_STAR_STATION_06	1	otshey	OT+CHEEY	nächster Ablesewert	Wähle diesen gezeichneten Sternplatz: nächster Ablesewert. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
205	f68r1	f68r1.15	ASTRO_LOCUS	F68_LOCAL_STAR_SLOT_NS::A2_STAR_STATION_07	1	otydy	OT	Teilsektor oder Untereintrag	Wähle diesen gezeichneten Sternplatz: Teilsektor oder Untereintrag. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
206	f68r1	f68r1.16	ASTRO_LOCUS	F68_LOCAL_STAR_SLOT_NS::A2_STAR_STATION_08	1	okear	OK+E+AR	Quelle kurz aktivieren	Wähle diesen gezeichneten Sternplatz: Quelle kurz aktivieren. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
207	f68r1	f68r1.17	ASTRO_LOCUS	F68_LOCAL_STAR_SLOT_NS::A2_STAR_STATION_09	1	cphocthy	CTH	Himmelsobjekt oder Eingangsbedingung	Wähle diesen gezeichneten Sternplatz: Himmelsobjekt oder Eingangsbedingung. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
208	f68r1	f68r1.18	ASTRO_LOCUS	F68_LOCAL_STAR_SLOT_NS::A2_STAR_STATION_10	1	ytchody	YT+HO	bezeichneter Platz oder Phase + HO	Wähle diesen gezeichneten Sternplatz: bezeichneter Platz oder Phase + HO. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
209	f68r1	f68r1.19	ASTRO_LOCUS	F68_LOCAL_STAR_SLOT_NS::A2_STAR_STATION_11	1	otys	OT	Teilsektor oder Untereintrag	Wähle diesen gezeichneten Sternplatz: Teilsektor oder Untereintrag. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
210	f68r1	f68r1.20	ASTRO_LOCUS	F68_LOCAL_STAR_SLOT_NS::A2_STAR_STATION_12	1	olor	OL+OR	fortgesetzter Bedingungs- oder Tabellensatz	Wähle diesen gezeichneten Sternplatz: fortgesetzter Bedingungs- oder Tabellensatz. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
211	f68r1	f68r1.21	ASTRO_LOCUS	F68_LOCAL_STAR_SLOT_NS::A2_STAR_STATION_13	1	ockhy	CKH	durch Sektor, Ring oder Pruefweg fuehren	Wähle diesen gezeichneten Sternplatz: durch Sektor, Ring oder Pruefweg fuehren. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
