stream_ordinal	event_id	statement_id	physical_page	register	owner_de	surface	component_recipe	intake_tier	ordered_literal_reading_de	order_safe_clause_de	dual_channel_reading_de	state_and_clause_match_gdt438
1059	G407-E1059	P1009-S045	f71v	CELESTIAL	erste lokale Figuren-/Sternringgruppe	osheo	O+SH+E+O	T0_EXACT_OBSERVED	AUSFÜHRUNG · HALTEN · GRAD I · AUSFÜHRUNG	Halte; als Ausführung, auf Grad I und als Ausführung.	Kernfolge: AUSFÜHRUNG · HALTEN · GRAD I · AUSFÜHRUNG. Halte; als Ausführung, auf Grad I und als Ausführung.	YES
1060	G407-E1060	P1009-S045	f71v	CELESTIAL	erste lokale Figuren-/Sternringgruppe	parar	P+AR+AR	T0_EXACT_OBSERVED	EINSETZEN · AUSGANG · AUSGANG	Setze ein; von der Ausgangsposition [außen] und von der Ausgangsposition [innen].	Kernfolge: EINSETZEN · AUSGANG · AUSGANG. Setze ein; von der Ausgangsposition [außen] und von der Ausgangsposition [innen].	YES
1061	G407-E1061	P1009-S045	f71v	CELESTIAL	erste lokale Figuren-/Sternringgruppe	oteeodaiin	OT+EE+O+D_ADDR+AIIN	T0_EXACT_OBSERVED	DANACH · GRAD II · AUSFÜHRUNG · HIER · WERT	Danach im laufenden Gang setze den Positionswert ein; auf Grad II und als Ausführung; an der bezeichneten Stelle.	Kernfolge: DANACH · GRAD II · AUSFÜHRUNG · HIER · WERT. Danach im laufenden Gang setze den Positionswert ein; auf Grad II und als Ausführung; an der bezeichneten Stelle.	YES
1062	G407-E1062	P1009-S045	f71v	CELESTIAL	erste lokale Figuren-/Sternringgruppe	she	SH+E	T0_EXACT_OBSERVED	HALTEN · GRAD I	Halte den Positionswert [wie zuvor]; auf Grad I.	Kernfolge: HALTEN · GRAD I. Halte den Positionswert [wie zuvor]; auf Grad I.	YES
1063	G407-E1063	P1009-S045	f71v	CELESTIAL	erste lokale Figuren-/Sternringgruppe	ateey	A_ADDR+T+EE+Y	T0_EXACT_OBSERVED	HIER · EINSTELLEN · GRAD II · POSTEN	Stelle den Positionsposten ein; auf Grad II; an der bezeichneten Stelle.	Kernfolge: HIER · EINSTELLEN · GRAD II · POSTEN. Stelle den Positionsposten ein; auf Grad II; an der bezeichneten Stelle.	YES
1064	G407-E1064	P1009-S045	f71v	CELESTIAL	erste lokale Figuren-/Sternringgruppe	daiin	AIIN	T0_EXACT_OBSERVED	WERT	Im laufenden Gang stelle den Positionswert ein.	Kernfolge: WERT. Im laufenden Gang stelle den Positionswert ein.	YES
1065	G407-E1065	P1009-S045	f71v	CELESTIAL	erste lokale Figuren-/Sternringgruppe	oteokeey	OT+E+O+K+EE+Y	T0_EXACT_OBSERVED	DANACH · GRAD I · AUSFÜHRUNG · GEBEN · GRAD II · POSTEN	Danach ordne den Positionsposten zu; auf Grad I, als Ausführung und auf Grad II.	Kernfolge: DANACH · GRAD I · AUSFÜHRUNG · GEBEN · GRAD II · POSTEN. Danach ordne den Positionsposten zu; auf Grad I, als Ausführung und auf Grad II.	YES
1066	G407-E1066	P1009-S045	f71v	CELESTIAL	erste lokale Figuren-/Sternringgruppe	dal	AL	T0_EXACT_OBSERVED	ZIELORT	Im laufenden Gang ordne den Positionsposten [wie zuvor] zu; zur Zielposition.	Kernfolge: ZIELORT. Im laufenden Gang ordne den Positionsposten [wie zuvor] zu; zur Zielposition.	YES
1067	G407-E1067	P1009-S045	f71v	CELESTIAL	erste lokale Figuren-/Sternringgruppe	al	AL	T0_EXACT_OBSERVED	ZIELORT	Im laufenden Gang ordne den Positionsposten [wie zuvor] zu; zur Zielposition.	Kernfolge: ZIELORT. Im laufenden Gang ordne den Positionsposten [wie zuvor] zu; zur Zielposition.	YES
1068	G407-E1068	P1009-S045	f71v	CELESTIAL	erste lokale Figuren-/Sternringgruppe	oteey	OT+EE+Y	T0_EXACT_OBSERVED	DANACH · GRAD II · POSTEN	Danach im laufenden Gang ordne den Positionsposten zu; auf Grad II.	Kernfolge: DANACH · GRAD II · POSTEN. Danach im laufenden Gang ordne den Positionsposten zu; auf Grad II.	YES
1069	G407-E1069	P1009-S045	f71v	CELESTIAL	erste lokale Figuren-/Sternringgruppe	teey	T+EE+Y	T0_EXACT_OBSERVED	EINSTELLEN · GRAD II · POSTEN	Stelle den Positionsposten ein; auf Grad II.	Kernfolge: EINSTELLEN · GRAD II · POSTEN. Stelle den Positionsposten ein; auf Grad II.	YES
1070	G407-E1070	P1009-S045	f71v	CELESTIAL	erste lokale Figuren-/Sternringgruppe	dy	Y	T0_EXACT_OBSERVED	POSTEN	Im laufenden Gang stelle den Positionsposten ein.	Kernfolge: POSTEN. Im laufenden Gang stelle den Positionsposten ein.	YES
1071	G407-E1071	P1009-S045	f71v	CELESTIAL	erste lokale Figuren-/Sternringgruppe	otchy	OT+CH+Y	T0_EXACT_OBSERVED	DANACH · NEHMEN · POSTEN	Danach nimm den Positionsposten auf.	Kernfolge: DANACH · NEHMEN · POSTEN. Danach nimm den Positionsposten auf.	YES
1072	G407-E1072	P1009-S045	f71v	CELESTIAL	erste lokale Figuren-/Sternringgruppe	keey	K+EE+Y	T0_EXACT_OBSERVED	GEBEN · GRAD II · POSTEN	Ordne den Positionsposten zu; auf Grad II.	Kernfolge: GEBEN · GRAD II · POSTEN. Ordne den Positionsposten zu; auf Grad II.	YES
1073	G407-E1073	P1009-S045	f71v	CELESTIAL	erste lokale Figuren-/Sternringgruppe	sheeo	SH+EE+O	T0_EXACT_OBSERVED	HALTEN · GRAD II · AUSFÜHRUNG	Halte den Positionsposten [wie zuvor]; auf Grad II und als Ausführung.	Kernfolge: HALTEN · GRAD II · AUSFÜHRUNG. Halte den Positionsposten [wie zuvor]; auf Grad II und als Ausführung.	YES
1074	G407-E1074	P1009-S045	f71v	CELESTIAL	erste lokale Figuren-/Sternringgruppe	ochey	O+CH+E+Y	T0_EXACT_OBSERVED	AUSFÜHRUNG · NEHMEN · GRAD I · POSTEN	Nimm den Positionsposten auf; als Ausführung und auf Grad I.	Kernfolge: AUSFÜHRUNG · NEHMEN · GRAD I · POSTEN. Nimm den Positionsposten auf; als Ausführung und auf Grad I.	YES
1075	G407-E1075	P1009-S045	f71v	CELESTIAL	erste lokale Figuren-/Sternringgruppe	chey	Y	T0_EXACT_OBSERVED	POSTEN	Im laufenden Gang nimm den Positionsposten auf.	Kernfolge: POSTEN. Im laufenden Gang nimm den Positionsposten auf.	YES
1076	G407-E1076	P1009-S045	f71v	CELESTIAL	erste lokale Figuren-/Sternringgruppe	otcheodal	OT+CH+E+O+D_ADDR+AL	T0_EXACT_OBSERVED	DANACH · NEHMEN · GRAD I · AUSFÜHRUNG · HIER · ZIELORT	Danach nimm den Positionsposten [wie zuvor] auf; zur Zielposition; auf Grad I und als Ausführung; an der bezeichneten Stelle.	Kernfolge: DANACH · NEHMEN · GRAD I · AUSFÜHRUNG · HIER · ZIELORT. Danach nimm den Positionsposten [wie zuvor] auf; zur Zielposition; auf Grad I und als Ausführung; an der bezeichneten Stelle.	YES
1077	G407-E1077	P1009-S045	f71v	CELESTIAL	erste lokale Figuren-/Sternringgruppe	sheealody	SH+EE+AL+O+DY	T0_EXACT_OBSERVED	HALTEN · GRAD II · ZIELORT · AUSFÜHRUNG · SCHLUSS	Halte den Positionsposten [wie zuvor]; zur Zielposition; auf Grad II und als Ausführung; schließe den Schritt.	Kernfolge: HALTEN · GRAD II · ZIELORT · AUSFÜHRUNG · SCHLUSS. Halte den Positionsposten [wie zuvor]; zur Zielposition; auf Grad II und als Ausführung; schließe den Schritt.	YES
1078	G407-E1078	P1009-S046	f71v	CELESTIAL	erste lokale Figuren-/Sternringgruppe	cheol	CH+E+O+L	T0_EXACT_OBSERVED	NEHMEN · GRAD I · AUSFÜHRUNG · VERBINDUNG	Nimm den Positionsposten [wie zuvor] auf; über die Ringverbindung; auf Grad I und als Ausführung.	Kernfolge: NEHMEN · GRAD I · AUSFÜHRUNG · VERBINDUNG. Nimm den Positionsposten [wie zuvor] auf; über die Ringverbindung; auf Grad I und als Ausführung.	YES
1079	G407-E1079	P1009-S046	f71v	CELESTIAL	erste lokale Figuren-/Sternringgruppe	otar	OT+AR	T0_EXACT_OBSERVED	DANACH · AUSGANG	Danach im laufenden Gang nimm den Positionsposten [wie zuvor] auf; von der Ausgangsposition.	Kernfolge: DANACH · AUSGANG. Danach im laufenden Gang nimm den Positionsposten [wie zuvor] auf; von der Ausgangsposition.	YES
1080	G407-E1080	P1009-S046	f71v	CELESTIAL	erste lokale Figuren-/Sternringgruppe	okam	OK+AM_ADDR	T0_EXACT_OBSERVED	SETZEN · HIER	Setze den Positionsposten [wie zuvor]; an der bezeichneten Stelle.	Kernfolge: SETZEN · HIER. Setze den Positionsposten [wie zuvor]; an der bezeichneten Stelle.	YES
1081	G407-E1081	P1009-S046	f71v	CELESTIAL	erste lokale Figuren-/Sternringgruppe	oteodar	OT+E+O+D_ADDR+AR	T0_EXACT_OBSERVED	DANACH · GRAD I · AUSFÜHRUNG · HIER · AUSGANG	Danach im laufenden Gang setze den Positionsposten [wie zuvor]; von der Ausgangsposition; auf Grad I und als Ausführung; an der bezeichneten Stelle.	Kernfolge: DANACH · GRAD I · AUSFÜHRUNG · HIER · AUSGANG. Danach im laufenden Gang setze den Positionsposten [wie zuvor]; von der Ausgangsposition; auf Grad I und als Ausführung; an der bezeichneten Stelle.	YES
1082	G407-E1082	P1009-S046	f71v	CELESTIAL	erste lokale Figuren-/Sternringgruppe	chpchy	CH+P+CH+Y	T0_EXACT_OBSERVED	NEHMEN · EINSETZEN · NEHMEN · POSTEN	Nimm den Positionsposten auf, setze den Positionsposten ein und nimm den Positionsposten auf.	Kernfolge: NEHMEN · EINSETZEN · NEHMEN · POSTEN. Nimm den Positionsposten auf, setze den Positionsposten ein und nimm den Positionsposten auf.	YES
1083	G407-E1083	P1009-S046	f71v	CELESTIAL	erste lokale Figuren-/Sternringgruppe	ar	AR	T0_EXACT_OBSERVED	AUSGANG	Im laufenden Gang nimm den Positionsposten [wie zuvor] auf; von der Ausgangsposition.	Kernfolge: AUSGANG. Im laufenden Gang nimm den Positionsposten [wie zuvor] auf; von der Ausgangsposition.	YES
1084	G407-E1084	P1009-S046	f71v	CELESTIAL	erste lokale Figuren-/Sternringgruppe	al	AL	T0_EXACT_OBSERVED	ZIELORT	Im laufenden Gang nimm den Positionsposten [wie zuvor] auf; zur Zielposition.	Kernfolge: ZIELORT. Im laufenden Gang nimm den Positionsposten [wie zuvor] auf; zur Zielposition.	YES
1085	G407-E1085	P1009-S046	f71v	CELESTIAL	erste lokale Figuren-/Sternringgruppe	aiin	AIIN	T0_EXACT_OBSERVED	WERT	Im laufenden Gang nimm den Positionswert auf.	Kernfolge: WERT. Im laufenden Gang nimm den Positionswert auf.	YES
1086	G407-E1086	P1009-S046	f71v	CELESTIAL	erste lokale Figuren-/Sternringgruppe	oteoshar	OT+E+O+SH+AR	T0_EXACT_OBSERVED	DANACH · GRAD I · AUSFÜHRUNG · HALTEN · AUSGANG	Danach halte den Positionswert [wie zuvor]; von der Ausgangsposition; auf Grad I und als Ausführung.	Kernfolge: DANACH · GRAD I · AUSFÜHRUNG · HALTEN · AUSGANG. Danach halte den Positionswert [wie zuvor]; von der Ausgangsposition; auf Grad I und als Ausführung.	YES
1087	G407-E1087	P1009-S046	f71v	CELESTIAL	erste lokale Figuren-/Sternringgruppe	okeodaly	OK+E+O+D_ADDR+AL+Y	T0_EXACT_OBSERVED	SETZEN · GRAD I · AUSFÜHRUNG · HIER · ZIELORT · POSTEN	Setze den Positionsposten; zur Zielposition; auf Grad I und als Ausführung; an der bezeichneten Stelle.	Kernfolge: SETZEN · GRAD I · AUSFÜHRUNG · HIER · ZIELORT · POSTEN. Setze den Positionsposten; zur Zielposition; auf Grad I und als Ausführung; an der bezeichneten Stelle.	YES
1088	G407-E1088	P1009-S046	f71v	CELESTIAL	erste lokale Figuren-/Sternringgruppe	oteey	OT+EE+Y	T0_EXACT_OBSERVED	DANACH · GRAD II · POSTEN	Danach im laufenden Gang setze den Positionsposten; auf Grad II.	Kernfolge: DANACH · GRAD II · POSTEN. Danach im laufenden Gang setze den Positionsposten; auf Grad II.	YES
1089	G407-E1089	P1009-S046	f71v	CELESTIAL	erste lokale Figuren-/Sternringgruppe	teeey	T+EEE+Y	T0_EXACT_OBSERVED	EINSTELLEN · GRAD III · POSTEN	Stelle den Positionsposten ein; auf Grad III.	Kernfolge: EINSTELLEN · GRAD III · POSTEN. Stelle den Positionsposten ein; auf Grad III.	YES
1090	G407-E1090	P1009-S046	f71v	CELESTIAL	erste lokale Figuren-/Sternringgruppe	oteey	OT+EE+Y	T0_EXACT_OBSERVED	DANACH · GRAD II · POSTEN	Danach im laufenden Gang stelle den Positionsposten ein; auf Grad II.	Kernfolge: DANACH · GRAD II · POSTEN. Danach im laufenden Gang stelle den Positionsposten ein; auf Grad II.	YES
1091	G407-E1091	P1009-S046	f71v	CELESTIAL	erste lokale Figuren-/Sternringgruppe	keor	K+E+OR	T0_EXACT_OBSERVED	GEBEN · GRAD I · EINHEIT	Ordne die Positionseinheit zu; auf Grad I.	Kernfolge: GEBEN · GRAD I · EINHEIT. Ordne die Positionseinheit zu; auf Grad I.	YES
1092	G407-E1092	P1009-S046	f71v	CELESTIAL	erste lokale Figuren-/Sternringgruppe	or	OR	T0_EXACT_OBSERVED	EINHEIT	Im laufenden Gang ordne die Positionseinheit zu.	Kernfolge: EINHEIT. Im laufenden Gang ordne die Positionseinheit zu.	YES
1093	G407-E1093	P1009-S046	f71v	CELESTIAL	erste lokale Figuren-/Sternringgruppe	arol	AR+OL	T0_EXACT_OBSERVED	AUSGANG · FORTSETZEN	Weiter im laufenden Gang ordne die Positionseinheit [wie zuvor] zu; von der Ausgangsposition.	Kernfolge: AUSGANG · FORTSETZEN. Weiter im laufenden Gang ordne die Positionseinheit [wie zuvor] zu; von der Ausgangsposition.	YES
1094	G407-E1094	P1009-S046	f71v	CELESTIAL	erste lokale Figuren-/Sternringgruppe	cheols	CH+E+O+L+S	T0_EXACT_OBSERVED	NEHMEN · GRAD I · AUSFÜHRUNG · VERBINDUNG · WÄHLEN	Nimm die Positionseinheit [wie zuvor] auf und wähle die Positionseinheit [wie zuvor]; über die Ringverbindung; auf Grad I und als Ausführung.	Kernfolge: NEHMEN · GRAD I · AUSFÜHRUNG · VERBINDUNG · WÄHLEN. Nimm die Positionseinheit [wie zuvor] auf und wähle die Positionseinheit [wie zuvor]; über die Ringverbindung; auf Grad I und als Ausführung.	YES
1095	G407-E1095	P1009-S046	f71v	CELESTIAL	erste lokale Figuren-/Sternringgruppe	okaikaly	OK+A_ADDR+IIN+K+AL+Y	T0_EXACT_OBSERVED	SETZEN · HIER · STUFE · GEBEN · ZIELORT · POSTEN	Setze den Positionsposten und ordne den Positionsposten zu; zur Zielposition; auf der bezeichneten Stufe; an der bezeichneten Stelle.	Kernfolge: SETZEN · HIER · STUFE · GEBEN · ZIELORT · POSTEN. Setze den Positionsposten und ordne den Positionsposten zu; zur Zielposition; auf der bezeichneten Stufe; an der bezeichneten Stelle.	YES
1096	G407-E1096	P1009-S047	f71v	CELESTIAL	zweite lokale Figuren-/Sternringgruppe	chal	CH+AL	T0_EXACT_OBSERVED	NEHMEN · ZIELORT	Nimm auf; zur Zielposition.	Kernfolge: NEHMEN · ZIELORT. Nimm auf; zur Zielposition.	YES
1097	G407-E1097	P1009-S047	f71v	CELESTIAL	zweite lokale Figuren-/Sternringgruppe	oteeos	OT+EE+O+S_ADDR	T0_EXACT_OBSERVED	DANACH · GRAD II · AUSFÜHRUNG · HIER	Danach im laufenden Gang nimm auf; auf Grad II und als Ausführung; an der bezeichneten Stelle.	Kernfolge: DANACH · GRAD II · AUSFÜHRUNG · HIER. Danach im laufenden Gang nimm auf; auf Grad II und als Ausführung; an der bezeichneten Stelle.	YES
1098	G407-E1098	P1009-S047	f71v	CELESTIAL	zweite lokale Figuren-/Sternringgruppe	al	AL	T0_EXACT_OBSERVED	ZIELORT	Im laufenden Gang nimm auf; zur Zielposition.	Kernfolge: ZIELORT. Im laufenden Gang nimm auf; zur Zielposition.	YES
1099	G407-E1099	P1009-S047	f71v	CELESTIAL	zweite lokale Figuren-/Sternringgruppe	sheky	SH+E+K+Y	T0_EXACT_OBSERVED	HALTEN · GRAD I · GEBEN · POSTEN	Halte den Positionsposten und ordne den Positionsposten zu; auf Grad I.	Kernfolge: HALTEN · GRAD I · GEBEN · POSTEN. Halte den Positionsposten und ordne den Positionsposten zu; auf Grad I.	YES
1100	G407-E1100	P1009-S047	f71v	CELESTIAL	zweite lokale Figuren-/Sternringgruppe	okalar	OK+AL+AR	T0_EXACT_OBSERVED	SETZEN · ZIELORT · AUSGANG	Setze den Positionsposten [wie zuvor]; zur Zielposition und von der Ausgangsposition.	Kernfolge: SETZEN · ZIELORT · AUSGANG. Setze den Positionsposten [wie zuvor]; zur Zielposition und von der Ausgangsposition.	YES
1101	G407-E1101	P1009-S047	f71v	CELESTIAL	zweite lokale Figuren-/Sternringgruppe	ar	AR	T0_EXACT_OBSERVED	AUSGANG	Im laufenden Gang setze den Positionsposten [wie zuvor]; von der Ausgangsposition.	Kernfolge: AUSGANG. Im laufenden Gang setze den Positionsposten [wie zuvor]; von der Ausgangsposition.	YES
1102	G407-E1102	P1009-S047	f71v	CELESTIAL	zweite lokale Figuren-/Sternringgruppe	okeo	OK+E+O	T0_EXACT_OBSERVED	SETZEN · GRAD I · AUSFÜHRUNG	Setze den Positionsposten [wie zuvor]; auf Grad I und als Ausführung.	Kernfolge: SETZEN · GRAD I · AUSFÜHRUNG. Setze den Positionsposten [wie zuvor]; auf Grad I und als Ausführung.	YES
1103	G407-E1103	P1009-S047	f71v	CELESTIAL	zweite lokale Figuren-/Sternringgruppe	dar	D_ADDR+AR	T0_EXACT_OBSERVED	HIER · AUSGANG	Im laufenden Gang setze den Positionsposten [wie zuvor]; von der Ausgangsposition; an der bezeichneten Stelle.	Kernfolge: HIER · AUSGANG. Im laufenden Gang setze den Positionsposten [wie zuvor]; von der Ausgangsposition; an der bezeichneten Stelle.	YES
1104	G407-E1104	P1009-S047	f71v	CELESTIAL	zweite lokale Figuren-/Sternringgruppe	oty	OT+Y	T0_EXACT_OBSERVED	DANACH · POSTEN	Danach im laufenden Gang setze den Positionsposten.	Kernfolge: DANACH · POSTEN. Danach im laufenden Gang setze den Positionsposten.	YES
1105	G407-E1105	P1009-S047	f71v	CELESTIAL	zweite lokale Figuren-/Sternringgruppe	oto	OT+O	T0_EXACT_OBSERVED	DANACH · AUSFÜHRUNG	Danach im laufenden Gang setze den Positionsposten [wie zuvor]; als Ausführung.	Kernfolge: DANACH · AUSFÜHRUNG. Danach im laufenden Gang setze den Positionsposten [wie zuvor]; als Ausführung.	YES
1106	G407-E1106	P1009-S047	f71v	CELESTIAL	zweite lokale Figuren-/Sternringgruppe	kaiin	K+AIIN	T0_EXACT_OBSERVED	GEBEN · WERT	Ordne den Positionswert zu.	Kernfolge: GEBEN · WERT. Ordne den Positionswert zu.	YES
1107	G407-E1107	P1009-S047	f71v	CELESTIAL	zweite lokale Figuren-/Sternringgruppe	chey	Y	T0_EXACT_OBSERVED	POSTEN	Im laufenden Gang ordne den Positionsposten zu.	Kernfolge: POSTEN. Im laufenden Gang ordne den Positionsposten zu.	YES
1108	G407-E1108	P1009-S047	f71v	CELESTIAL	zweite lokale Figuren-/Sternringgruppe	tal	T+AL	T0_EXACT_OBSERVED	EINSTELLEN · ZIELORT	Stelle den Positionsposten [wie zuvor] ein; zur Zielposition.	Kernfolge: EINSTELLEN · ZIELORT. Stelle den Positionsposten [wie zuvor] ein; zur Zielposition.	YES
1109	G407-E1109	P1009-S047	f71v	CELESTIAL	zweite lokale Figuren-/Sternringgruppe	otchr	OT+CH+R	T0_EXACT_OBSERVED	DANACH · NEHMEN · MARKIEREN	Danach nimm den Positionsposten [wie zuvor] auf und markiere den Positionsposten [wie zuvor].	Kernfolge: DANACH · NEHMEN · MARKIEREN. Danach nimm den Positionsposten [wie zuvor] auf und markiere den Positionsposten [wie zuvor].	YES
1110	G407-E1110	P1009-S047	f71v	CELESTIAL	zweite lokale Figuren-/Sternringgruppe	chtos	CH+T+O+S	T0_EXACT_OBSERVED	NEHMEN · EINSTELLEN · AUSFÜHRUNG · WÄHLEN	Nimm den Positionsposten [wie zuvor] auf, stelle den Positionsposten [wie zuvor] ein und wähle den Positionsposten [wie zuvor]; als Ausführung.	Kernfolge: NEHMEN · EINSTELLEN · AUSFÜHRUNG · WÄHLEN. Nimm den Positionsposten [wie zuvor] auf, stelle den Positionsposten [wie zuvor] ein und wähle den Positionsposten [wie zuvor]; als Ausführung.	YES
1111	G407-E1111	P1009-S047	f71v	CELESTIAL	zweite lokale Figuren-/Sternringgruppe	cheor	CH+E+O+R	T0_EXACT_OBSERVED	NEHMEN · GRAD I · AUSFÜHRUNG · MARKIEREN	Nimm den Positionsposten [wie zuvor] auf und markiere den Positionsposten [wie zuvor]; auf Grad I und als Ausführung.	Kernfolge: NEHMEN · GRAD I · AUSFÜHRUNG · MARKIEREN. Nimm den Positionsposten [wie zuvor] auf und markiere den Positionsposten [wie zuvor]; auf Grad I und als Ausführung.	YES
1112	G407-E1112	P1009-S047	f71v	CELESTIAL	zweite lokale Figuren-/Sternringgruppe	shepchol	SH+E+P+CH+OL	T0_EXACT_OBSERVED	HALTEN · GRAD I · EINSETZEN · NEHMEN · FORTSETZEN	Weiter halte den Positionsposten [wie zuvor], setze den Positionsposten [wie zuvor] ein und nimm den Positionsposten [wie zuvor] auf; auf Grad I.	Kernfolge: HALTEN · GRAD I · EINSETZEN · NEHMEN · FORTSETZEN. Weiter halte den Positionsposten [wie zuvor], setze den Positionsposten [wie zuvor] ein und nimm den Positionsposten [wie zuvor] auf; auf Grad I.	YES
1113	G407-E1113	P1009-S047	f71v	CELESTIAL	zweite lokale Figuren-/Sternringgruppe	otor	OT+OR	T0_EXACT_OBSERVED	DANACH · EINHEIT	Danach im laufenden Gang nimm die Positionseinheit auf.	Kernfolge: DANACH · EINHEIT. Danach im laufenden Gang nimm die Positionseinheit auf.	YES
1114	G407-E1114	P1009-S047	f71v	CELESTIAL	zweite lokale Figuren-/Sternringgruppe	sheo	SH+E+O	T0_EXACT_OBSERVED	HALTEN · GRAD I · AUSFÜHRUNG	Halte die Positionseinheit [wie zuvor]; auf Grad I und als Ausführung.	Kernfolge: HALTEN · GRAD I · AUSFÜHRUNG. Halte die Positionseinheit [wie zuvor]; auf Grad I und als Ausführung.	YES
1115	G407-E1115	P1009-S047	f71v	CELESTIAL	zweite lokale Figuren-/Sternringgruppe	shopcho	SH+O+P+CH+O	T0_EXACT_OBSERVED	HALTEN · AUSFÜHRUNG · EINSETZEN · NEHMEN · AUSFÜHRUNG	Halte die Positionseinheit [wie zuvor], setze die Positionseinheit [wie zuvor] ein und nimm die Positionseinheit [wie zuvor] auf; als Ausführung und als Ausführung.	Kernfolge: HALTEN · AUSFÜHRUNG · EINSETZEN · NEHMEN · AUSFÜHRUNG. Halte die Positionseinheit [wie zuvor], setze die Positionseinheit [wie zuvor] ein und nimm die Positionseinheit [wie zuvor] auf; als Ausführung und als Ausführung.	YES
1116	G407-E1116	P1009-S047	f71v	CELESTIAL	zweite lokale Figuren-/Sternringgruppe	ar	AR	T0_EXACT_OBSERVED	AUSGANG	Im laufenden Gang nimm die Positionseinheit [wie zuvor] auf; von der Ausgangsposition.	Kernfolge: AUSGANG. Im laufenden Gang nimm die Positionseinheit [wie zuvor] auf; von der Ausgangsposition.	YES
1117	G407-E1117	P1009-S047	f71v	CELESTIAL	zweite lokale Figuren-/Sternringgruppe	aly	AL+Y	T0_EXACT_OBSERVED	ZIELORT · POSTEN	Zur Zielposition: im laufenden Gang nimm den Positionsposten auf.	Kernfolge: ZIELORT · POSTEN. Zur Zielposition: im laufenden Gang nimm den Positionsposten auf.	YES
1118	G407-E1118	P1009-S047	f71v	CELESTIAL	zweite lokale Figuren-/Sternringgruppe	okeo	OK+E+O	T0_EXACT_OBSERVED	SETZEN · GRAD I · AUSFÜHRUNG	Setze den Positionsposten [wie zuvor]; auf Grad I und als Ausführung.	Kernfolge: SETZEN · GRAD I · AUSFÜHRUNG. Setze den Positionsposten [wie zuvor]; auf Grad I und als Ausführung.	YES
1119	G407-E1119	P1009-S047	f71v	CELESTIAL	zweite lokale Figuren-/Sternringgruppe	cheey	SH+EE+Y	T0_EXACT_OBSERVED	HALTEN · GRAD II · POSTEN	Halte den Positionsposten; auf Grad II.	Kernfolge: HALTEN · GRAD II · POSTEN. Halte den Positionsposten; auf Grad II.	YES
1120	G407-E1120	P1009-S047	f71v	CELESTIAL	zweite lokale Figuren-/Sternringgruppe	otal	OT+AL	T0_EXACT_OBSERVED	DANACH · ZIELORT	Danach im laufenden Gang halte den Positionsposten [wie zuvor]; zur Zielposition.	Kernfolge: DANACH · ZIELORT. Danach im laufenden Gang halte den Positionsposten [wie zuvor]; zur Zielposition.	YES
